"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"937","TOWN OF MENOMINEE MENOMINEE","MENOMINEE","TOWN OF MENOMINEE",1805,0,0,114,114,114,0,0,0,8,0,0,1,0,4,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"938","TOWN OF MENOMONIE DUNN","DUNN","TOWN OF MENOMONIE",1948,0,9,236,236,0,234,2,0,5,0,0,0,2,3,0,0,0,0,16,3,1,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0
"939","TOWN OF MENTOR CLARK","CLARK","TOWN OF MENTOR",296,0,0,28,28,6,0,22,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"940","TOWN OF MERCER IRON","IRON","TOWN OF MERCER",1147,0,8,483,483,381,0,102,0,9,0,0,0,3,2,0,0,0,0,58,11,10,0,48,0,0,0,0,0,0,1,0,0,1,0,0,0
"941","TOWN OF MERRILL LINCOLN","LINCOLN","TOWN OF MERRILL",1785,1,13,276,276,0,276,0,3,5,0,0,0,3,2,0,0,0,0,25,5,6,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0
"942","TOWN OF MERRIMAC SAUK","SAUK","TOWN OF MERRIMAC",696,0,8,125,125,0,125,0,0,11,0,0,0,2,1,0,0,0,0,14,0,3,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0
"943","TOWN OF MERTON WAUKESHA","WAUKESHA","TOWN OF MERTON",5955,6,30,1030,1030,2,1028,0,0,20,0,0,0,5,6,1,0,1,0,86,27,5,1,78,78,1,0,0,0,0,1,1,0,0,0,0,0
"944","TOWN OF METEOR SAWYER","SAWYER","TOWN OF METEOR",105,0,1,26,26,0,0,26,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945","TOWN OF METOMEN FOND DU LAC","FOND DU LAC","TOWN OF METOMEN",437,0,3,59,59,0,59,0,0,3,0,0,0,1,0,0,0,0,0,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"946","TOWN OF MIDDLE INLET MARINETTE","MARINETTE","TOWN OF MIDDLE INLET",515,0,2,67,67,5,0,62,0,10,0,0,1,0,3,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"947","TOWN OF MIDDLETON DANE","DANE","TOWN OF MIDDLETON",4430,14,27,841,841,0,841,0,8,21,0,0,0,7,10,0,0,0,0,90,35,11,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0
"948","TOWN OF MIFFLIN IOWA","IOWA","TOWN OF MIFFLIN",329,0,0,55,55,0,0,55,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949","TOWN OF MILFORD JEFFERSON","JEFFERSON","TOWN OF MILFORD",131,0,3,131,131,131,0,0,0,3,0,0,0,1,1,0,0,0,0,9,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"950","TOWN OF MILLADORE WOOD","WOOD","TOWN OF MILLADORE",377,0,0,51,51,0,51,0,0,3,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"951","TOWN OF MILLSTON JACKSON","JACKSON","TOWN OF MILLSTON",119,0,1,22,22,0,0,22,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952","TOWN OF MILLTOWN POLK","POLK","TOWN OF MILLTOWN",753,0,2,45,45,2,0,43,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"953","TOWN OF MILLVILLE GRANT","GRANT","TOWN OF MILLVILLE",99,0,0,21,21,0,0,21,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954","TOWN OF MILTON BUFFALO","BUFFALO","TOWN OF MILTON",377,0,1,41,41,3,0,38,0,6,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955","TOWN OF MILTON ROCK","ROCK","TOWN OF MILTON",1846,2,13,273,273,0,273,0,0,12,0,0,0,2,10,0,0,0,0,20,7,4,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0
"956","TOWN OF MINERAL POINT IOWA","IOWA","TOWN OF MINERAL POINT",573,0,9,216,216,17,0,199,0,6,0,0,0,2,3,0,0,0,0,17,2,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0
"957","TOWN OF MINOCQUA ONEIDA","ONEIDA","TOWN OF MINOCQUA",3456,0,16,489,489,0,489,0,0,3,0,0,0,3,0,0,0,0,0,154,23,53,11,104,101,3,0,0,0,0,0,0,0,0,0,0,0
"958","TOWN OF MINONG WASHBURN","WASHBURN","TOWN OF MINONG",619,2,0,32,32,8,0,24,0,5,0,0,0,1,3,0,0,0,0,7,1,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"959","TOWN OF MISHICOT MANITOWOC","MANITOWOC","TOWN OF MISHICOT",739,1,2,86,86,86,0,0,0,9,0,0,0,2,7,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"960","TOWN OF MITCHELL SHEBOYGAN","SHEBOYGAN","TOWN OF MITCHELL",815,0,4,172,172,0,107,65,0,8,0,0,0,4,2,0,0,0,0,16,3,6,2,10,12,1,0,0,0,0,0,0,0,0,0,0,0
"961","TOWN OF MODENA BUFFALO","BUFFALO","TOWN OF MODENA",185,0,0,45,45,45,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"962","TOWN OF MOLITOR TAYLOR","TAYLOR","TOWN OF MOLITOR",193,0,0,37,37,0,0,37,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"963","TOWN OF MONDOVI BUFFALO","BUFFALO","TOWN OF MONDOVI",280,0,1,32,32,1,0,31,0,6,0,0,0,2,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"964","TOWN OF MONICO ONEIDA","ONEIDA","TOWN OF MONICO",170,0,1,34,34,1,0,33,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"965","TOWN OF MONROE ADAMS","ADAMS","TOWN OF MONROE",267,1,0,34,34,1,0,33,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"966","TOWN OF MONROE GREEN","GREEN","TOWN OF MONROE",773,7,2,134,134,0,134,0,0,6,0,0,0,0,0,0,0,0,0,16,11,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
"967","TOWN OF MONTANA BUFFALO","BUFFALO","TOWN OF MONTANA",180,0,6,37,37,7,0,30,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"968","TOWN OF MONTELLO MARQUETTE","MARQUETTE","TOWN OF MONTELLO",673,0,3,98,98,7,0,91,0,3,0,0,0,1,1,0,0,0,0,6,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"969","TOWN OF MONTICELLO LAFAYETTE","LAFAYETTE","TOWN OF MONTICELLO",75,0,0,8,8,0,0,8,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"970","TOWN OF MONTPELIER KEWAUNEE","KEWAUNEE","TOWN OF MONTPELIER",845,0,12,247,247,0,136,111,0,6,0,0,0,1,3,1,0,0,1,14,0,2,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
"971","TOWN OF MONTROSE DANE","DANE","TOWN OF MONTROSE",768,0,4,216,216,0,216,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,2,0,0,2,2,0,0
"972","TOWN OF MORGAN OCONTO","OCONTO","TOWN OF MORGAN",624,0,4,86,86,5,0,81,0,3,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"973","TOWN OF MORRIS SHAWANO","SHAWANO","TOWN OF MORRIS",255,0,2,39,39,4,0,35,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974","TOWN OF MORRISON BROWN","BROWN","TOWN OF MORRISON",1017,0,10,153,153,0,153,0,0,11,0,1,0,5,2,0,0,0,0,13,0,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
"975","TOWN OF MORSE ASHLAND","ASHLAND","TOWN OF MORSE",333,0,1,50,50,50,0,0,0,12,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"976","TOWN OF MOSCOW IOWA","IOWA","TOWN OF MOSCOW",394,0,3,95,95,8,0,87,0,3,0,0,0,2,0,0,0,0,0,6,4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"977","TOWN OF MOSEL SHEBOYGAN","SHEBOYGAN","TOWN OF MOSEL",538,0,4,105,105,0,78,27,0,6,0,0,0,3,1,0,0,0,0,5,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"978","TOWN OF MOSINEE MARATHON","MARATHON","TOWN OF MOSINEE",1406,0,2,164,164,0,164,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"979","TOWN OF MOUNDVILLE MARQUETTE","MARQUETTE","TOWN OF MOUNDVILLE",293,0,1,50,50,2,0,48,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"980","TOWN OF MOUNT HOPE GRANT","GRANT","TOWN OF MOUNT HOPE",121,0,0,10,10,0,0,10,0,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"981","TOWN OF MOUNT IDA GRANT","GRANT","TOWN OF MOUNT IDA",295,0,2,37,37,1,0,36,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"982","TOWN OF MOUNT MORRIS WAUSHARA","WAUSHARA","TOWN OF MOUNT MORRIS",755,0,4,131,131,14,0,117,0,5,0,0,0,0,3,0,0,0,0,8,0,2,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0
"983","TOWN OF MOUNT PLEASANT GREEN","GREEN","TOWN OF MOUNT PLEASANT",376,0,2,64,64,0,64,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"984","TOWN OF MOUNTAIN OCONTO","OCONTO","TOWN OF MOUNTAIN",529,1,4,82,82,20,0,62,0,6,0,0,1,2,1,0,0,0,0,21,2,2,0,17,19,0,0,0,0,0,1,1,0,0,0,0,0
"985","TOWN OF MUKWA WAUPACA","WAUPACA","TOWN OF MUKWA",1787,0,5,265,265,0,211,54,0,8,0,0,0,0,5,0,0,0,0,57,7,4,1,51,51,2,0,0,0,0,0,0,0,0,0,0,0
"986","TOWN OF MUKWONAGO WAUKESHA","WAUKESHA","TOWN OF MUKWONAGO",5422,0,25,974,974,0,974,0,0,19,0,0,0,2,17,0,0,0,0,117,38,22,1,91,49,1,0,0,0,0,0,0,0,0,0,0,0
"987","TOWN OF MURRY RUSK","RUSK","TOWN OF MURRY",150,0,3,22,22,6,0,16,0,3,0,0,0,0,1,0,0,0,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"988","TOWN OF MUSCODA GRANT","GRANT","TOWN OF MUSCODA",345,0,0,31,31,4,0,27,0,4,0,0,0,1,3,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"989","TOWN OF NAMAKAGON BAYFIELD","BAYFIELD","TOWN OF NAMAKAGON",229,0,1,31,31,0,31,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990","TOWN OF NAPLES BUFFALO","BUFFALO","TOWN OF NAPLES",402,0,2,57,57,8,0,49,0,3,0,0,0,1,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"991","TOWN OF NASEWAUPEE DOOR","DOOR","TOWN OF NASEWAUPEE",1356,0,12,205,205,205,0,0,0,4,0,0,0,0,1,0,0,0,0,11,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0
"992","TOWN OF NASHVILLE FOREST","FOREST","TOWN OF NASHVILLE",706,1,5,85,85,17,0,67,0,15,0,0,0,0,4,0,0,0,0,22,0,5,3,15,14,0,0,0,0,0,0,0,0,0,0,0,0
"993","TOWN OF NAVARINO SHAWANO","SHAWANO","TOWN OF NAVARINO",266,0,0,54,54,8,0,46,0,5,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"994","TOWN OF NECEDAH JUNEAU","JUNEAU","TOWN OF NECEDAH",1249,1,3,184,184,36,0,148,0,5,0,0,0,2,3,0,0,0,0,54,0,20,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0
"995","TOWN OF NEENAH WINNEBAGO","WINNEBAGO","TOWN OF NEENAH",2330,2,5,359,359,0,359,0,0,8,0,0,0,1,6,0,0,0,0,20,5,4,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0
"996","TOWN OF NEKIMI WINNEBAGO","WINNEBAGO","TOWN OF NEKIMI",942,0,0,150,150,0,150,0,0,10,0,0,1,2,3,0,0,0,0,9,3,0,0,9,9,0,0,0,0,0,3,0,0,3,3,0,0
"997","TOWN OF NELSON BUFFALO","BUFFALO","TOWN OF NELSON",357,0,3,41,41,3,0,38,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998","TOWN OF NEPEUSKUN WINNEBAGO","WINNEBAGO","TOWN OF NEPEUSKUN",466,0,1,84,84,0,84,0,0,5,0,0,0,0,3,0,0,0,0,4,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"999","TOWN OF NESHKORO MARQUETTE","MARQUETTE","TOWN OF NESHKORO",376,0,1,56,56,2,0,54,0,3,0,0,0,0,1,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1000","TOWN OF NEVA LANGLADE","LANGLADE","TOWN OF NEVA",587,0,1,87,87,6,0,81,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1001","TOWN OF NEW CHESTER ADAMS","ADAMS","TOWN OF NEW CHESTER",480,1,1,65,65,20,0,45,0,3,0,0,0,2,1,0,0,0,0,8,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"1002","TOWN OF NEW DENMARK BROWN","BROWN","TOWN OF NEW DENMARK",1006,0,4,197,197,0,197,0,0,8,0,0,0,1,6,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"1003","TOWN OF NEW DIGGINGS LAFAYETTE","LAFAYETTE","TOWN OF NEW DIGGINGS",302,0,1,0,33,0,0,33,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1004","TOWN OF NEW GLARUS GREEN","GREEN","TOWN OF NEW GLARUS",883,0,15,277,277,0,277,0,0,5,0,0,0,0,0,0,0,0,0,13,8,1,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0
"1005","TOWN OF NEW HAVEN ADAMS","ADAMS","TOWN OF NEW HAVEN",409,1,4,74,74,22,0,52,0,6,0,0,0,3,2,0,0,0,0,10,2,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"1006","TOWN OF NEW HAVEN DUNN","DUNN","TOWN OF NEW HAVEN",372,0,0,42,0,42,0,0,0,3,0,0,0,2,4,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1007","TOWN OF NEW HOLSTEIN CALUMET","CALUMET","TOWN OF NEW HOLSTEIN",875,0,2,134,134,0,75,59,0,6,0,0,0,1,4,0,0,0,0,11,0,1,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0
"1008","TOWN OF NEW HOPE PORTAGE","PORTAGE","TOWN OF NEW HOPE",539,0,2,161,161,161,0,0,0,4,0,0,0,3,1,0,0,0,0,8,5,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0
"1009","TOWN OF NEW LYME MONROE","MONROE","TOWN OF NEW LYME",100,0,2,23,23,0,23,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1010","TOWN OF NEWARK ROCK","ROCK","TOWN OF NEWARK",1013,0,3,124,124,0,124,0,0,5,0,0,0,0,5,0,0,0,0,9,3,3,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"1011","TOWN OF NEWBOLD ONEIDA","ONEIDA","TOWN OF NEWBOLD",1903,3,64,926,925,0,892,34,0,11,0,0,0,2,8,1,0,0,0,68,18,9,1,59,2,0,0,0,0,1,4,3,0,0,0,0,0
"1012","TOWN OF NEWPORT COLUMBIA","COLUMBIA","TOWN OF NEWPORT",438,0,3,73,73,0,73,0,1,7,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1013","TOWN OF NEWTON MANITOWOC","MANITOWOC","TOWN OF NEWTON",1466,0,7,222,222,222,0,0,0,3,0,0,0,0,1,0,0,0,0,18,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
"1014","TOWN OF NEWTON MARQUETTE","MARQUETTE","TOWN OF NEWTON",278,0,1,42,42,0,0,42,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1015","TOWN OF NIAGARA MARINETTE","MARINETTE","TOWN OF NIAGARA",562,0,0,62,62,12,0,50,0,10,0,0,1,2,6,0,0,0,0,5,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"1016","TOWN OF NOKOMIS ONEIDA","ONEIDA","TOWN OF NOKOMIS",988,0,4,134,134,0,66,68,0,5,0,0,0,0,0,0,0,0,0,8,0,4,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0
"1017","TOWN OF NORRIE MARATHON","MARATHON","TOWN OF NORRIE",579,0,0,57,57,0,57,0,3,6,0,0,0,2,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1018","TOWN OF NORTH BEND JACKSON","JACKSON","TOWN OF NORTH BEND",282,0,3,47,47,0,0,47,0,8,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1019","TOWN OF NORTH LANCASTER GRANT","GRANT","TOWN OF NORTH LANCASTER",295,0,0,34,34,9,0,25,0,6,0,0,0,2,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"1020","TOWN OF NORTHFIELD JACKSON","JACKSON","TOWN OF NORTHFIELD",391,0,3,68,68,3,0,65,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1021","TOWN OF NORWAY RACINE","RACINE","TOWN OF NORWAY",5237,3,21,860,860,0,819,41,0,9,0,0,0,1,5,0,0,0,0,143,16,33,1,111,110,1,0,0,0,0,1,0,0,1,1,0,0
"1022","TOWN OF NORWOOD LANGLADE","LANGLADE","TOWN OF NORWOOD",567,0,2,68,68,3,0,65,0,4,0,0,0,0,4,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1023","TOWN OF OAK GROVE BARRON","BARRON","TOWN OF OAK GROVE",538,0,0,60,60,3,0,57,0,3,0,0,0,2,1,0,0,0,0,3,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
"1024","TOWN OF OAK GROVE DODGE","DODGE","TOWN OF OAK GROVE",633,0,3,94,94,0,94,0,0,3,0,0,0,0,2,0,0,0,0,4,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0
"1025","TOWN OF OAK GROVE PIERCE","PIERCE","TOWN OF OAK GROVE",1431,0,17,448,448,0,259,189,0,5,0,0,0,3,2,0,0,0,0,1,0,1,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0
"1026","TOWN OF OAKDALE MONROE","MONROE","TOWN OF OAKDALE",381,0,3,58,58,1,0,57,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"1027","TOWN OF OAKFIELD FOND DU LAC","FOND DU LAC","TOWN OF OAKFIELD",436,0,2,56,56,0,56,0,0,5,0,0,1,1,1,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1028","TOWN OF OAKLAND BURNETT","BURNETT","TOWN OF OAKLAND",601,0,0,20,20,0,0,20,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1029","TOWN OF OAKLAND DOUGLAS","DOUGLAS","TOWN OF OAKLAND",733,0,0,60,60,0,60,0,0,3,0,0,0,2,1,0,0,0,0,9,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"1030","TOWN OF OAKLAND JEFFERSON","JEFFERSON","TOWN OF OAKLAND",2058,0,13,362,362,31,330,0,2,7,0,0,0,7,0,0,0,0,2,18,6,3,1,15,16,0,0,0,0,0,0,0,0,0,0,0,0
"1031","TOWN OF OASIS WAUSHARA","WAUSHARA","TOWN OF OASIS",247,2,4,48,48,2,0,46,0,3,0,0,1,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1032","TOWN OF OCONOMOWOC WAUKESHA","WAUKESHA","TOWN OF OCONOMOWOC",6158,4,30,1151,1151,0,1147,4,0,23,0,0,0,3,16,0,0,0,0,134,41,37,2,95,97,0,0,0,0,0,0,0,0,0,0,0,0
"1033","TOWN OF OCONTO FALLS OCONTO","OCONTO","TOWN OF OCONTO FALLS",747,0,3,81,81,6,0,75,0,3,0,0,0,0,1,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"1034","TOWN OF OCONTO OCONTO","OCONTO","TOWN OF OCONTO",802,0,9,189,189,1,0,188,0,2,0,0,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1035","TOWN OF OGEMA PRICE","PRICE","TOWN OF OGEMA",426,0,5,111,111,28,0,83,0,3,0,0,0,0,3,0,0,0,0,5,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"1036","TOWN OF OJIBWA SAWYER","SAWYER","TOWN OF OJIBWA",158,0,0,22,22,2,0,20,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1037","TOWN OF OMA IRON","IRON","TOWN OF OMA",244,2,0,39,39,9,0,30,0,4,0,0,0,0,3,0,0,0,0,9,2,5,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"1038","TOWN OF OMRO WINNEBAGO","WINNEBAGO","TOWN OF OMRO",1335,0,10,185,185,0,185,0,0,3,0,0,1,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1039","TOWN OF ONALASKA LA CROSSE","LA CROSSE","TOWN OF ONALASKA",3770,9,20,659,659,0,659,0,0,9,0,0,1,2,6,0,0,0,0,50,27,0,0,50,49,1,0,0,0,0,1,0,0,0,0,1,0
"1040","TOWN OF ONEIDA OUTAGAMIE","OUTAGAMIE","TOWN OF ONEIDA",2237,0,6,239,239,142,0,97,0,10,0,0,1,3,5,0,0,0,0,27,1,1,0,26,0,0,0,0,0,0,2,2,0,0,0,0,0
"1041","TOWN OF ORANGE JUNEAU","JUNEAU","TOWN OF ORANGE",310,0,0,46,46,8,0,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1042","TOWN OF OREGON DANE","DANE","TOWN OF OREGON",2339,5,14,566,566,0,566,0,0,12,0,0,0,2,2,0,0,0,0,53,20,3,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0
"1043","TOWN OF ORIENTA BAYFIELD","BAYFIELD","TOWN OF ORIENTA",94,0,1,24,24,0,24,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1044","TOWN OF ORION RICHLAND","RICHLAND","TOWN OF ORION",280,0,1,47,47,1,0,46,0,3,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1045","TOWN OF OSBORN OUTAGAMIE","OUTAGAMIE","TOWN OF OSBORN",742,0,2,114,114,40,0,74,0,6,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1046","TOWN OF OSCEOLA FOND DU LAC","FOND DU LAC","TOWN OF OSCEOLA",1256,0,8,199,199,0,199,0,0,3,0,0,0,0,0,0,0,0,0,26,0,5,2,19,19,0,0,0,0,0,0,0,0,0,0,0,0
"1047","TOWN OF OSCEOLA POLK","POLK","TOWN OF OSCEOLA",1726,2,1,96,96,42,0,54,0,9,0,0,1,1,4,0,0,0,0,12,6,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"1048","TOWN OF OSHKOSH WINNEBAGO","WINNEBAGO","TOWN OF OSHKOSH",1766,0,8,318,318,0,318,0,0,10,0,0,0,1,3,0,0,0,0,29,2,3,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0
"1049","TOWN OF OTSEGO COLUMBIA","COLUMBIA","TOWN OF OTSEGO",438,0,3,75,75,0,75,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1050","TOWN OF OTTAWA WAUKESHA","WAUKESHA","TOWN OF OTTAWA",2741,0,24,548,548,548,0,0,0,5,0,0,0,2,3,0,0,0,0,30,14,3,0,14,28,0,0,0,0,0,1,1,0,0,0,0,0
"1051","TOWN OF OTTER CREEK DUNN","DUNN","TOWN OF OTTER CREEK",290,2,1,52,52,24,0,28,0,4,0,0,0,3,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1052","TOWN OF OTTER CREEK EAU CLAIRE","EAU CLAIRE","TOWN OF OTTER CREEK",277,0,2,45,45,0,45,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1053","TOWN OF OULU BAYFIELD","BAYFIELD","TOWN OF OULU",375,0,1,58,58,0,58,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
