"","reporting_unit","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_no_dl","provisional_no_por","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_unreturned","military_undeliverable","military_by_electionday","military_counted","military_rejected","military_late"
"1832","TOWN-OF-CHRISTIANA-WARD-1-2-DANE","TOWN OF CHRISTIANA DANE","DANE","TOWN OF CHRISTIANA",825,0,4,161,161,0,161,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1833","TOWN-OF-CHRISTIANA-WARD-1-2-VERNON","TOWN OF CHRISTIANA VERNON","VERNON","TOWN OF CHRISTIANA",568,0,3,74,74,4,70,0,0,3,0,0,0,0,3,0,0,0,0,4,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"1834","TOWN-OF-CICERO-WARD-1-2-OUTAGAMIE","TOWN OF CICERO OUTAGAMIE","OUTAGAMIE","TOWN OF CICERO",610,0,3,78,78,1,0,77,0,8,0,0,1,0,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1835","TOWN-OF-CITY-POINT-WARD-1-JACKSON","TOWN OF CITY POINT JACKSON","JACKSON","TOWN OF CITY POINT",117,0,0,24,24,2,0,22,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1836","TOWN-OF-CLAM-FALLS-WARD-1-POLK","TOWN OF CLAM FALLS POLK","POLK","TOWN OF CLAM FALLS",320,0,0,21,21,4,0,17,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1837","TOWN-OF-CLARNO-WARD-1-2-GREEN","TOWN OF CLARNO GREEN","GREEN","TOWN OF CLARNO",660,0,6,92,92,0,92,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1838","TOWN-OF-CLAY-BANKS-WARD-1-DOOR","TOWN OF CLAY BANKS DOOR","DOOR","TOWN OF CLAY BANKS",276,0,1,61,61,0,61,0,0,4,0,0,0,3,0,0,0,0,0,8,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"1839","TOWN-OF-CLAYTON-WARD-1-3-CRAWFORD","TOWN OF CLAYTON CRAWFORD","CRAWFORD","TOWN OF CLAYTON",532,0,4,135,135,42,0,93,0,4,0,0,0,1,3,0,0,0,0,10,3,1,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0
"1840","TOWN-OF-CLAYTON-WARD-1-7-WINNEBAGO","TOWN OF CLAYTON WINNEBAGO","WINNEBAGO","TOWN OF CLAYTON",2667,0,14,359,359,359,0,0,0,17,0,0,1,0,6,0,0,0,0,27,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1841","TOWN-OF-CLAYTON-WARD-1-POLK","TOWN OF CLAYTON POLK","POLK","TOWN OF CLAYTON",576,0,0,43,43,6,0,37,0,5,0,0,0,2,1,0,0,0,0,5,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"1842","TOWN-OF-CLEAR-CREEK-WARD-1-2-EAU-CLAIRE","TOWN OF CLEAR CREEK EAU CLAIRE","EAU CLAIRE","TOWN OF CLEAR CREEK",454,0,1,66,66,47,47,19,0,3,0,0,0,0,3,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1843","TOWN-OF-CLEAR-LAKE-WARD-1-POLK","TOWN OF CLEAR LAKE POLK","POLK","TOWN OF CLEAR LAKE",491,2,2,37,37,1,0,36,0,5,0,0,0,3,2,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0
"1844","TOWN-OF-CLEARFIELD-WARD-1-2-JUNEAU","TOWN OF CLEARFIELD JUNEAU","JUNEAU","TOWN OF CLEARFIELD",408,0,4,47,47,1,0,46,0,3,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"1845","TOWN-OF-CLEVELAND-WARD-1-2-MARATHON","TOWN OF CLEVELAND MARATHON","MARATHON","TOWN OF CLEVELAND",867,0,1,107,107,0,107,0,0,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1846","TOWN-OF-CLEVELAND-WARD-1-CHIPPEWA","TOWN OF CLEVELAND CHIPPEWA","CHIPPEWA","TOWN OF CLEVELAND",481,0,3,66,66,0,28,38,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1847","TOWN-OF-CLEVELAND-WARD-1-JACKSON","TOWN OF CLEVELAND JACKSON","JACKSON","TOWN OF CLEVELAND",327,0,1,57,57,6,0,51,0,3,0,0,0,2,0,0,0,0,0,6,5,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"1848","TOWN-OF-CLEVELAND-WARD-1-TAYLOR","TOWN OF CLEVELAND TAYLOR","TAYLOR","TOWN OF CLEVELAND",152,0,0,20,20,0,0,20,0,4,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"1849","TOWN-OF-CLIFTON-WARD-1-2-GRANT","TOWN OF CLIFTON GRANT","GRANT","TOWN OF CLIFTON",172,0,0,22,22,1,0,21,0,6,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1850","TOWN-OF-CLIFTON-WARD-1-3-PIERCE","TOWN OF CLIFTON PIERCE","PIERCE","TOWN OF CLIFTON",1392,0,17,290,290,1,290,0,0,3,0,0,0,1,1,0,0,0,0,6,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"1851","TOWN-OF-CLIFTON-WARD-1-MONROE","TOWN OF CLIFTON MONROE","MONROE","TOWN OF CLIFTON",247,0,0,49,49,9,0,40,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1852","TOWN-OF-CLINTON-WARD-1-2-VERNON","TOWN OF CLINTON VERNON","VERNON","TOWN OF CLINTON",280,0,0,38,38,37,0,0,0,6,1,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"1853","TOWN-OF-CLINTON-WARD-1-BARRON","TOWN OF CLINTON BARRON","BARRON","TOWN OF CLINTON",381,0,0,38,38,1,0,37,0,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1854","TOWN-OF-CLINTON-WARD-1-ROCK","TOWN OF CLINTON ROCK","ROCK","TOWN OF CLINTON",549,0,1,7,71,0,70,0,1,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1855","TOWN-OF-CLOVER-WARD-1-BAYFIELD","TOWN OF CLOVER BAYFIELD","BAYFIELD","TOWN OF CLOVER",193,0,1,49,49,0,49,0,0,6,0,0,0,0,3,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1856","TOWN-OF-CLOVERLAND-WARD-1-2-VILAS","TOWN OF CLOVERLAND VILAS","VILAS","TOWN OF CLOVERLAND",785,0,31,305,305,0,305,0,0,3,0,0,0,0,0,0,0,0,0,18,3,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
"1857","TOWN-OF-CLOVERLAND-WARD-1-DOUGLAS","TOWN OF CLOVERLAND DOUGLAS","DOUGLAS","TOWN OF CLOVERLAND",146,0,0,24,24,0,24,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1858","TOWN-OF-CLYDE-WARD-1-IOWA","TOWN OF CLYDE IOWA","IOWA","TOWN OF CLYDE",207,0,5,72,71,2,0,70,0,3,0,0,0,0,3,0,0,0,0,4,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"1859","TOWN-OF-CLYMAN-WARD-1-DODGE","TOWN OF CLYMAN DODGE","DODGE","TOWN OF CLYMAN",492,0,2,93,93,0,93,0,0,7,0,0,0,3,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1860","TOWN-OF-COLBURN-WARD-1-ADAMS","TOWN OF COLBURN ADAMS","ADAMS","TOWN OF COLBURN",147,0,2,34,34,0,0,34,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1861","TOWN-OF-COLBURN-WARD-1-CHIPPEWA","TOWN OF COLBURN CHIPPEWA","CHIPPEWA","TOWN OF COLBURN",459,0,5,57,57,0,3,54,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1862","TOWN-OF-COLBY-WARD-1-3-CLARK","TOWN OF COLBY CLARK","CLARK","TOWN OF COLBY",315,0,1,49,49,0,49,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1863","TOWN-OF-COLD-SPRING-WARD-1-JEFFERSON","TOWN OF COLD SPRING JEFFERSON","JEFFERSON","TOWN OF COLD SPRING",509,0,1,93,93,0,88,0,5,6,0,0,0,0,5,0,0,0,0,9,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"1864","TOWN-OF-COLFAX-WARD-1-3-DUNN","TOWN OF COLFAX DUNN","DUNN","TOWN OF COLFAX",664,0,0,91,91,8,0,83,0,6,0,0,0,3,3,0,0,0,0,7,5,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0
"1865","TOWN-OF-COLOMA-WARD-1-WAUSHARA","TOWN OF COLOMA WAUSHARA","WAUSHARA","TOWN OF COLOMA",408,0,4,71,71,5,0,66,0,3,0,0,0,1,1,0,0,0,0,5,2,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"1866","TOWN-OF-COLUMBUS-WARD-1-COLUMBIA","TOWN OF COLUMBUS COLUMBIA","COLUMBIA","TOWN OF COLUMBUS",420,0,6,61,61,0,61,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1867","TOWN-OF-COMMONWEALTH-WARD-1-3-FLORENCE","TOWN OF COMMONWEALTH FLORENCE","FLORENCE","TOWN OF COMMONWEALTH",250,0,0,17,17,3,0,14,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1868","TOWN-OF-CONCORD-WARD-1-3-JEFFERSON","TOWN OF CONCORD JEFFERSON","JEFFERSON","TOWN OF CONCORD",1359,1,10,310,310,0,310,0,0,7,0,0,1,2,0,0,0,0,0,10,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"1869","TOWN-OF-CONOVER-WARD-1-2-VILAS","TOWN OF CONOVER VILAS","VILAS","TOWN OF CONOVER",895,3,22,343,343,0,343,0,0,5,0,0,0,0,3,0,0,0,0,33,7,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0
"1870","TOWN-OF-COOKS-VALLEY-WARD-1-CHIPPEWA","TOWN OF COOKS VALLEY CHIPPEWA","CHIPPEWA","TOWN OF COOKS VALLEY",424,0,1,79,79,0,45,34,0,3,0,0,0,0,3,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1871","TOWN-OF-COON-WARD-1-2-VERNON","TOWN OF COON VERNON","VERNON","TOWN OF COON",477,0,3,82,82,3,0,0,0,3,0,0,0,1,1,0,0,0,0,7,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"1872","TOWN-OF-COOPERSTOWN-WARD-1-2-MANITOWOC","TOWN OF COOPERSTOWN MANITOWOC","MANITOWOC","TOWN OF COOPERSTOWN",838,0,3,181,181,181,0,0,0,7,0,0,0,3,4,0,0,0,0,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"1873","TOWN-OF-CORNING-WARD-1-2-LINCOLN","TOWN OF CORNING LINCOLN","LINCOLN","TOWN OF CORNING",490,2,0,72,72,0,72,0,0,3,0,0,0,0,3,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1874","TOWN-OF-COTTAGE-GROVE-WARD-1-7-DANE","TOWN OF COTTAGE GROVE DANE","DANE","TOWN OF COTTAGE GROVE",509,0,17,509,509,0,509,0,0,6,0,0,0,1,3,0,0,0,0,41,12,6,0,31,33,2,0,0,0,0,0,0,0,0,0,0,0
"1875","TOWN-OF-COUDERAY-WARD-1-SAWYER","TOWN OF COUDERAY SAWYER","SAWYER","TOWN OF COUDERAY",174,0,2,15,15,0,0,15,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1876","TOWN-OF-COURTLAND-WARD-1-COLUMBIA","TOWN OF COURTLAND COLUMBIA","COLUMBIA","TOWN OF COURTLAND",282,0,0,48,48,48,0,0,0,6,0,0,0,0,3,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1877","TOWN-OF-CRANDON-WARD-1-3-FOREST","TOWN OF CRANDON FOREST","FOREST","TOWN OF CRANDON",404,0,0,43,43,6,0,36,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1878","TOWN-OF-CRANMOOR-WARD-1-WOOD","TOWN OF CRANMOOR WOOD","WOOD","TOWN OF CRANMOOR",116,0,2,27,27,27,0,0,0,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1879","TOWN-OF-CRESCENT-WARD-1-3-ONEIDA","TOWN OF CRESCENT ONEIDA","ONEIDA","TOWN OF CRESCENT",1459,1,55,710,710,0,710,0,0,10,0,0,0,3,3,0,0,0,0,42,4,4,1,30,37,0,0,0,0,0,1,1,0,0,0,0,0
"1880","TOWN-OF-CROSS-PLAINS-WARD-1-3-DANE","TOWN OF CROSS PLAINS DANE","DANE","TOWN OF CROSS PLAINS",1054,0,6,276,276,0,276,0,0,10,0,0,1,3,0,0,0,0,0,20,3,2,0,18,16,2,0,0,0,0,0,0,0,0,0,0,0
"1881","TOWN-OF-CROSS-WARD-1-BUFFALO","TOWN OF CROSS BUFFALO","BUFFALO","TOWN OF CROSS",226,0,1,22,22,5,0,17,0,9,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1882","TOWN-OF-CRYSTAL-LAKE-WARD-1-BARRON","TOWN OF CRYSTAL LAKE BARRON","BARRON","TOWN OF CRYSTAL LAKE",423,0,0,28,28,0,0,28,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1883","TOWN-OF-CRYSTAL-LAKE-WARD-1-MARQUETTE","TOWN OF CRYSTAL LAKE MARQUETTE","MARQUETTE","TOWN OF CRYSTAL LAKE",335,0,2,60,60,7,0,53,0,3,0,0,0,0,2,0,0,0,0,7,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0
"1884","TOWN-OF-CRYSTAL-WARD-1-2-WASHBURN","TOWN OF CRYSTAL WASHBURN","WASHBURN","TOWN OF CRYSTAL",172,0,0,55,55,55,0,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1885","TOWN-OF-CUMBERLAND-WARD-1-BARRON","TOWN OF CUMBERLAND BARRON","BARRON","TOWN OF CUMBERLAND",518,0,0,49,49,12,0,37,0,6,0,0,0,2,3,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"1886","TOWN-OF-CURRAN-WARD-1-JACKSON","TOWN OF CURRAN JACKSON","JACKSON","TOWN OF CURRAN",176,0,0,31,31,1,0,30,0,3,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"1887","TOWN-OF-CUTLER-WARD-1-JUNEAU","TOWN OF CUTLER JUNEAU","JUNEAU","TOWN OF CUTLER",204,3,32,32,0,0,32,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1888","TOWN-OF-CYLON-WARD-1-ST.-CROIX","TOWN OF CYLON ST. CROIX","ST. CROIX","TOWN OF CYLON",380,0,1,37,37,0,37,0,0,3,0,0,0,0,2,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"1889","TOWN-OF-DAIRYLAND-WARD-1-DOUGLAS","TOWN OF DAIRYLAND DOUGLAS","DOUGLAS","TOWN OF DAIRYLAND",136,0,0,17,17,0,17,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1890","TOWN-OF-DAKOTA-WARD-1-2-WAUSHARA","TOWN OF DAKOTA WAUSHARA","WAUSHARA","TOWN OF DAKOTA",566,3,4,107,107,11,0,96,0,6,0,0,0,0,0,0,0,0,0,15,0,4,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
"1891","TOWN-OF-DALE-WARD-1-3-OUTAGAMIE","TOWN OF DALE OUTAGAMIE","OUTAGAMIE","TOWN OF DALE",1741,0,8,206,206,0,95,111,0,11,0,0,1,4,3,0,0,0,0,10,2,1,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0
"1892","TOWN-OF-DALLAS-WARD-1-BARRON","TOWN OF DALLAS BARRON","BARRON","TOWN OF DALLAS",316,0,1,35,35,1,0,34,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1893","TOWN-OF-DANE-WARD-1-DANE","TOWN OF DANE DANE","DANE","TOWN OF DANE",605,0,2,109,109,0,109,0,2,6,0,0,0,0,1,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"1894","TOWN-OF-DANIELS-WARD-1-BURNETT","TOWN OF DANIELS BURNETT","BURNETT","TOWN OF DANIELS",0,0,0,36,36,3,0,33,0,6,0,0,0,1,5,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"1895","TOWN-OF-DARIEN-WARD-1-3-WALWORTH","TOWN OF DARIEN WALWORTH","WALWORTH","TOWN OF DARIEN",945,1,4,156,156,156,0,0,0,5,0,0,0,1,3,0,0,0,0,22,4,0,3,19,19,0,0,0,0,0,0,0,0,0,0,0,0
"1896","TOWN-OF-DARLINGTON-WARD-1-3-LAFAYETTE","TOWN OF DARLINGTON LAFAYETTE","LAFAYETTE","TOWN OF DARLINGTON",560,0,3,66,66,20,0,46,0,3,0,0,0,0,1,0,0,0,0,4,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"1897","TOWN-OF-DAY-WARD-1-2-MARATHON","TOWN OF DAY MARATHON","MARATHON","TOWN OF DAY",654,0,2,84,84,0,84,0,2,3,0,0,0,0,1,0,0,0,0,7,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0
"1898","TOWN-OF-DAYTON-WARD-1-4-WAUPACA","TOWN OF DAYTON WAUPACA","WAUPACA","TOWN OF DAYTON",1788,2,14,266,266,183,0,83,0,14,0,0,0,2,12,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"1899","TOWN-OF-DAYTON-WARD-1-RICHLAND","TOWN OF DAYTON RICHLAND","RICHLAND","TOWN OF DAYTON",396,2,5,63,63,2,0,61,0,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1900","TOWN-OF-DECATUR-WARD-1-3-GREEN","TOWN OF DECATUR GREEN","GREEN","TOWN OF DECATUR",1078,6,1,135,135,0,135,0,0,3,0,0,0,0,0,0,0,0,0,17,1,8,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0
"1901","TOWN-OF-DEER-CREEK-WARD-1-OUTAGAMIE","TOWN OF DEER CREEK OUTAGAMIE","OUTAGAMIE","TOWN OF DEER CREEK",327,0,1,49,49,4,0,45,0,3,0,0,0,0,2,0,0,0,0,4,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"1902","TOWN-OF-DEER-CREEK-WARD-1-TAYLOR","TOWN OF DEER CREEK TAYLOR","TAYLOR","TOWN OF DEER CREEK",376,0,1,46,46,9,0,37,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1903","TOWN-OF-DEERFIELD-WARD-1-2-DANE","TOWN OF DEERFIELD DANE","DANE","TOWN OF DEERFIELD",1018,0,8,219,219,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1904","TOWN-OF-DEERFIELD-WARD-1-WAUSHARA","TOWN OF DEERFIELD WAUSHARA","WAUSHARA","TOWN OF DEERFIELD",456,2,0,77,77,9,0,68,0,5,0,0,0,0,3,0,0,0,0,9,0,1,0,8,8,0,0,0,0,0,1,1,0,0,0,0,0
"1905","TOWN-OF-DEKORRA-WARD-1-3-COLUMBIA","TOWN OF DEKORRA COLUMBIA","COLUMBIA","TOWN OF DEKORRA",1642,0,17,278,278,0,278,0,0,15,0,0,0,10,2,0,0,0,0,30,1,11,5,17,17,5,0,0,0,0,1,0,0,1,1,0,0
"1906","TOWN-OF-DELAFIELD-WARD-1-2-5-6-WAUKESHA","TOWN OF DELAFIELD WAUKESHA","WAUKESHA","TOWN OF DELAFIELD",2199,4,10,444,443,0,443,0,0,5,0,0,0,4,0,0,0,0,0,64,19,8,0,55,1,0,0,0,0,0,0,0,0,0,0,0,0
"1907","TOWN-OF-DELAFIELD-WARD-3-4-WAUKESHA","TOWN OF DELAFIELD WAUKESHA","WAUKESHA","TOWN OF DELAFIELD",1330,0,7,268,268,0,268,0,0,3,0,0,0,2,1,0,0,0,0,21,7,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"1908","TOWN-OF-DELAFIELD-WARD-7-8-WAUKESHA","TOWN OF DELAFIELD WAUKESHA","WAUKESHA","TOWN OF DELAFIELD",1023,1,3,202,202,0,202,0,0,5,0,0,0,0,5,0,0,0,0,20,16,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
"1909","TOWN-OF-DELAFIELD-WARD-9-11-WAUKESHA","TOWN OF DELAFIELD WAUKESHA","WAUKESHA","TOWN OF DELAFIELD",1415,3,4,291,291,0,291,0,0,4,0,0,0,0,4,0,0,0,0,31,22,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"1910","TOWN-OF-DELAVAN-WARD-1-11-WALWORTH","TOWN OF DELAVAN WALWORTH","WALWORTH","TOWN OF DELAVAN",2986,8,26,606,606,0,598,8,0,16,0,0,0,5,5,0,0,0,0,97,13,10,1,80,1,3,0,0,0,0,0,0,0,0,0,0,0
"1911","TOWN-OF-DELL-PRAIRIE-WARD-1-3-ADAMS","TOWN OF DELL PRAIRIE ADAMS","ADAMS","TOWN OF DELL PRAIRIE",988,0,6,115,115,115,0,0,0,3,0,0,0,2,0,0,0,0,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
"1912","TOWN-OF-DELLONA-WARD-1-2-SAUK","TOWN OF DELLONA SAUK","SAUK","TOWN OF DELLONA",978,0,4,121,121,121,0,0,0,9,0,0,0,9,0,0,0,0,0,5,2,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"1913","TOWN-OF-DELMAR-WARD-1-CHIPPEWA","TOWN OF DELMAR CHIPPEWA","CHIPPEWA","TOWN OF DELMAR",515,0,1,41,41,0,41,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1914","TOWN-OF-DELTA-WARD-1-BAYFIELD","TOWN OF DELTA BAYFIELD","BAYFIELD","TOWN OF DELTA",217,1,2,60,60,0,60,0,0,3,0,0,0,1,0,0,0,0,0,4,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"1915","TOWN-OF-DELTON-WARD-1-4-SAUK","TOWN OF DELTON SAUK","SAUK","TOWN OF DELTON",1290,0,13,195,195,0,195,0,0,3,0,0,0,1,1,0,0,0,0,15,1,3,1,10,12,0,0,0,0,0,0,0,0,0,0,0,0
"1916","TOWN-OF-DEWEY-WARD-1-BURNETT","TOWN OF DEWEY BURNETT","BURNETT","TOWN OF DEWEY",309,0,0,29,29,5,0,24,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1917","TOWN-OF-DEWEY-WARD-1-PORTAGE","TOWN OF DEWEY PORTAGE","PORTAGE","TOWN OF DEWEY",626,0,4,109,109,0,109,0,0,3,0,0,0,2,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"1918","TOWN-OF-DEWEY-WARD-1-RUSK","TOWN OF DEWEY RUSK","RUSK","TOWN OF DEWEY",322,0,0,62,62,30,0,32,0,3,0,0,0,1,1,0,0,0,0,6,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0
"1919","TOWN-OF-DEWHURST-WARD-1-CLARK","TOWN OF DEWHURST CLARK","CLARK","TOWN OF DEWHURST",229,0,1,39,39,5,0,34,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"1920","TOWN-OF-DEXTER-WARD-1-WOOD","TOWN OF DEXTER WOOD","WOOD","TOWN OF DEXTER",217,0,1,43,43,43,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1921","TOWN-OF-DIAMOND-BLUFF-WARD-1-PIERCE","TOWN OF DIAMOND BLUFF PIERCE","PIERCE","TOWN OF DIAMOND BLUFF",306,0,1,43,43,1,0,42,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1922","TOWN-OF-DODGE-WARD-1-TREMPEALEAU","TOWN OF DODGE TREMPEALEAU","TREMPEALEAU","TOWN OF DODGE",259,0,0,35,35,4,0,31,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1923","TOWN-OF-DODGEVILLE-WARD-1-4-IOWA","TOWN OF DODGEVILLE IOWA","IOWA","TOWN OF DODGEVILLE",1019,4,17,350,350,0,187,163,0,4,0,0,0,1,1,0,0,0,0,38,22,2,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0
"1924","TOWN-OF-DOTY-WARD-1-OCONTO","TOWN OF DOTY OCONTO","OCONTO","TOWN OF DOTY",234,0,0,48,48,0,0,48,0,7,0,0,1,0,4,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1925","TOWN-OF-DOUGLAS-WARD-1-MARQUETTE","TOWN OF DOUGLAS MARQUETTE","MARQUETTE","TOWN OF DOUGLAS",561,0,1,109,109,14,0,95,0,3,0,0,0,0,1,0,0,0,0,16,0,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
