"","muni_county","county","municipality","registrants","late_registrants","election_day_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","provisional_identification","provisional_no_dl","counted_id","rejected_id","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"826","TOWN OF LEVIS CLARK","CLARK","TOWN OF LEVIS",292,1,20,227,227,38,0,189,4,0,1,1,2,0,0,0,0,0,18,12,2,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827","TOWN OF LEWISTON COLUMBIA","COLUMBIA","TOWN OF LEWISTON",755,2,75,692,692,0,692,0,6,0,0,0,1,2,0,0,0,0,49,30,2,0,47,47,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"828","TOWN OF LIBERTY GRANT","GRANT","TOWN OF LIBERTY",295,0,26,238,238,107,0,131,4,0,0,0,0,0,0,0,0,0,12,5,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"829","TOWN OF LIBERTY GROVE DOOR","DOOR","TOWN OF LIBERTY GROVE",1631,22,44,1424,1424,0,1424,0,11,0,2,0,3,5,0,0,0,0,651,598,9,2,639,638,1,2,0,0,0,0,2,1,0,1,1,0,0,4,0,0,4,4,0,0
"830","TOWN OF LIBERTY MANITOWOC","MANITOWOC","TOWN OF LIBERTY",803,7,69,733,733,4,729,0,13,0,0,0,1,6,0,0,0,0,35,20,1,0,34,34,0,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,2,2,0,0
"831","TOWN OF LIBERTY OUTAGAMIE","OUTAGAMIE","TOWN OF LIBERTY",537,0,87,518,518,130,0,387,7,0,0,0,0,1,0,0,0,0,29,12,1,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"832","TOWN OF LIBERTY VERNON","VERNON","TOWN OF LIBERTY",179,3,12,173,173,56,0,117,3,0,0,0,1,1,0,0,0,0,18,8,0,0,18,18,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"833","TOWN OF LIMA GRANT","GRANT","TOWN OF LIMA",428,0,12,353,353,39,0,314,5,0,0,0,1,2,0,0,0,0,29,21,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"834","TOWN OF LIMA PEPIN","PEPIN","TOWN OF LIMA",348,5,31,318,318,32,0,286,6,0,0,1,0,2,0,0,0,0,17,5,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"835","TOWN OF LIMA ROCK","ROCK","TOWN OF LIMA",705,15,62,630,630,0,630,0,9,0,0,2,1,5,0,0,0,0,403,24,0,0,40,40,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"836","TOWN OF LIMA SHEBOYGAN","SHEBOYGAN","TOWN OF LIMA",1954,6,145,1771,1770,0,1598,173,16,0,0,1,4,2,0,0,0,0,136,0,6,0,130,0,0,0,0,0,0,0,10,3,0,7,7,0,0,0,0,0,0,0,0,0
"837","TOWN OF LINCOLN ADAMS","ADAMS","TOWN OF LINCOLN",223,0,21,182,182,2,0,161,2,0,0,0,1,1,0,0,0,0,19,3,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"838","TOWN OF LINCOLN BAYFIELD","BAYFIELD","TOWN OF LINCOLN",211,0,9,183,183,0,183,0,3,0,0,0,0,1,0,0,0,0,23,10,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"839","TOWN OF LINCOLN BUFFALO","BUFFALO","TOWN OF LINCOLN",136,0,10,125,125,26,0,99,3,0,0,0,1,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"840","TOWN OF LINCOLN BURNETT","BURNETT","TOWN OF LINCOLN",194,1,26,173,173,26,0,147,6,0,0,1,2,1,0,0,0,0,9,5,0,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"841","TOWN OF LINCOLN EAU CLAIRE","EAU CLAIRE","TOWN OF LINCOLN",709,1,43,587,587,0,343,244,8,0,0,0,2,4,0,0,0,0,46,17,3,0,43,43,0,0,0,0,0,0,3,0,0,3,3,0,0,4,3,0,1,1,0,0
"842","TOWN OF LINCOLN FOREST","FOREST","TOWN OF LINCOLN",630,0,40,514,514,92,0,422,5,0,0,0,2,0,0,0,0,0,85,40,0,0,85,83,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"843","TOWN OF LINCOLN KEWAUNEE","KEWAUNEE","TOWN OF LINCOLN",549,1,43,486,486,0,120,366,3,0,0,0,0,3,0,0,0,0,32,12,1,0,31,30,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"844","TOWN OF LINCOLN MONROE","MONROE","TOWN OF LINCOLN",499,0,57,499,499,36,0,403,3,0,0,0,0,0,0,0,0,0,28,18,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"845","TOWN OF LINCOLN POLK","POLK","TOWN OF LINCOLN",1421,16,136,1260,1258,0,321,939,13,0,0,0,4,5,0,0,0,0,198,117,3,0,195,195,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"846","TOWN OF LINCOLN TREMPEALEAU","TREMPEALEAU","TOWN OF LINCOLN",392,32,36,323,323,58,0,265,7,0,0,0,1,1,0,0,0,0,53,12,1,1,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"847","TOWN OF LINCOLN VILAS","VILAS","TOWN OF LINCOLN",1853,24,147,1613,1613,0,1613,0,13,0,0,0,1,2,0,0,0,0,383,276,0,0,383,383,0,0,0,0,0,0,3,0,0,3,3,0,0,7,0,0,7,7,0,0
"848","TOWN OF LINCOLN WOOD","WOOD","TOWN OF LINCOLN",1048,0,94,959,959,0,959,0,15,0,1,0,3,5,0,0,0,0,77,25,1,0,76,76,0,0,1,1,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
"849","TOWN OF LIND WAUPACA","WAUPACA","TOWN OF LIND",909,23,135,823,823,462,0,361,14,0,0,1,4,7,0,0,0,0,94,61,1,0,93,93,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"850","TOWN OF LINDEN IOWA","IOWA","TOWN OF LINDEN",448,5,96,382,382,46,0,336,7,0,0,0,2,5,0,0,0,0,47,35,1,0,46,46,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"851","TOWN OF LINDINA JUNEAU","JUNEAU","TOWN OF LINDINA",464,0,33,404,404,115,0,289,5,0,0,0,1,2,0,0,0,0,32,11,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"852","TOWN OF LINN WALWORTH","WALWORTH","TOWN OF LINN",1536,37,106,1336,1336,0,1334,2,17,0,0,0,2,9,0,0,0,0,274,214,3,0,271,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"853","TOWN OF LINWOOD PORTAGE","PORTAGE","TOWN OF LINWOOD",768,1,46,676,676,676,0,0,5,0,0,0,0,4,0,0,0,0,58,30,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"854","TOWN OF LISBON JUNEAU","JUNEAU","TOWN OF LISBON",541,8,53,496,496,223,0,273,10,0,0,0,2,6,0,0,0,0,39,14,1,0,38,38,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"855","TOWN OF LISBON WAUKESHA","WAUKESHA","TOWN OF LISBON",7307,194,673,6621,6621,0,6621,0,38,0,0,0,26,10,0,0,0,0,2747,2214,35,6,2701,2686,6,4,0,0,0,0,5,1,0,4,3,1,1,6,2,0,3,3,0,0
"856","TOWN OF LITTLE BLACK TAYLOR","TAYLOR","TOWN OF LITTLE BLACK",42,0,68,556,558,1,230,325,3,0,0,0,0,0,0,0,0,0,42,32,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"857","TOWN OF LITTLE FALLS MONROE","MONROE","TOWN OF LITTLE FALLS",818,3,85,701,701,7,694,0,7,0,0,0,4,3,0,0,0,0,31,20,1,0,30,30,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"858","TOWN OF LITTLE GRANT GRANT","GRANT","TOWN OF LITTLE GRANT",160,1,6,142,142,7,0,135,3,0,0,0,0,2,0,0,0,0,7,2,0,0,7,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"859","TOWN OF LITTLE RICE ONEIDA","ONEIDA","TOWN OF LITTLE RICE",242,0,27,223,223,29,0,194,5,0,0,0,0,3,0,0,0,0,20,15,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"860","TOWN OF LITTLE RIVER OCONTO","OCONTO","TOWN OF LITTLE RIVER",621,12,73,562,562,0,291,271,5,0,0,0,1,1,0,0,0,0,43,0,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"861","TOWN OF LITTLE SUAMICO OCONTO","OCONTO","TOWN OF LITTLE SUAMICO",3161,13,315,2858,2858,0,854,2004,17,0,0,0,2,8,0,0,0,0,815,554,3,0,812,812,1,0,0,0,0,0,9,3,0,6,6,0,0,0,0,0,0,0,0,0
"862","TOWN OF LITTLE WOLF WAUPACA","WAUPACA","TOWN OF LITTLE WOLF",836,6,71,738,738,372,0,366,7,0,0,0,2,2,0,0,0,0,78,28,3,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"863","TOWN OF LODI COLUMBIA","COLUMBIA","TOWN OF LODI",2283,35,170,2016,2016,0,2016,0,21,0,0,0,8,10,0,0,0,0,729,679,10,1,717,717,0,0,0,0,0,0,3,0,0,3,3,0,0,2,1,0,1,1,0,0
"864","TOWN OF LOMIRA DODGE","DODGE","TOWN OF LOMIRA",723,11,75,653,653,0,652,1,20,0,0,0,6,8,0,1,1,0,46,27,1,0,45,45,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0
"865","TOWN OF LONG LAKE FLORENCE","FLORENCE","TOWN OF LONG LAKE",126,4,8,111,111,44,0,67,3,0,0,0,2,1,0,0,0,0,13,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"866","TOWN OF LONG LAKE WASHBURN","WASHBURN","TOWN OF LONG LAKE",467,6,30,409,409,229,0,180,7,0,0,0,0,6,0,0,0,0,44,23,2,0,42,42,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"867","TOWN OF LONGWOOD CLARK","CLARK","TOWN OF LONGWOOD",262,0,29,228,228,92,0,136,6,0,0,0,0,3,0,0,0,0,5,3,1,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"868","TOWN OF LORAIN POLK","POLK","TOWN OF LORAIN",189,0,16,163,163,129,0,34,7,0,0,2,3,2,0,0,0,0,14,2,0,0,14,14,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"869","TOWN OF LOWELL DODGE","DODGE","TOWN OF LOWELL",688,4,51,591,591,0,591,0,10,0,0,1,7,0,0,0,0,0,22,8,2,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
"870","TOWN OF LOWVILLE COLUMBIA","COLUMBIA","TOWN OF LOWVILLE",705,4,51,624,624,0,624,0,10,0,0,0,2,18,0,0,0,0,30,20,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"871","TOWN OF LOYAL CLARK","CLARK","TOWN OF LOYAL",301,2,17,253,253,174,0,79,3,0,0,0,0,2,0,0,0,0,8,6,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"872","TOWN OF LUCAS DUNN","DUNN","TOWN OF LUCAS",495,2,37,416,416,0,225,191,4,0,0,0,1,3,0,0,0,0,26,2,2,0,24,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"873","TOWN OF LUCK POLK","POLK","TOWN OF LUCK",586,0,78,525,525,3,0,470,5,0,0,0,0,2,0,0,0,0,52,30,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"874","TOWN OF LUDINGTON EAU CLAIRE","EAU CLAIRE","TOWN OF LUDINGTON",662,13,58,593,593,1,438,155,5,0,0,0,0,2,0,0,0,0,32,21,0,0,32,32,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"875","TOWN OF LUXEMBURG KEWAUNEE","KEWAUNEE","TOWN OF LUXEMBURG",958,2,81,848,849,0,476,372,7,0,0,0,0,0,0,0,0,0,34,20,3,0,31,31,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"876","TOWN OF LYNDON JUNEAU","JUNEAU","TOWN OF LYNDON",735,3,98,631,631,262,0,369,6,0,0,1,0,4,0,0,0,0,43,16,2,0,42,42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"877","TOWN OF LYNDON SHEBOYGAN","SHEBOYGAN","TOWN OF LYNDON",1013,0,102,925,925,0,753,172,10,0,0,2,1,7,0,0,0,0,119,76,1,0,117,115,2,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"878","TOWN OF LYNN CLARK","CLARK","TOWN OF LYNN",310,0,21,255,255,56,0,199,5,0,1,1,0,3,0,0,0,0,13,8,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"879","TOWN OF LYNNE ONEIDA","ONEIDA","TOWN OF LYNNE",86,0,6,81,81,16,0,65,3,0,0,0,0,2,0,0,0,0,10,6,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"880","TOWN OF LYONS WALWORTH","WALWORTH","TOWN OF LYONS",2167,31,204,1892,1892,0,1892,0,15,0,0,0,4,4,1,0,0,1,433,326,15,0,418,418,0,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0
"881","TOWN OF MACKFORD GREEN LAKE","GREEN LAKE","TOWN OF MACKFORD",348,0,25,286,286,17,0,269,3,0,0,0,0,3,0,0,0,0,10,1,3,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"882","TOWN OF MADGE WASHBURN","WASHBURN","TOWN OF MADGE",408,0,28,354,354,154,0,200,5,0,0,0,2,2,1,0,0,1,64,12,1,0,63,63,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"883","TOWN OF MADISON DANE","DANE","TOWN OF MADISON",3229,126,525,2473,2472,2473,0,0,35,0,3,8,8,11,2,0,1,1,760,655,13,0,747,747,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,5
"884","TOWN OF MAGNOLIA ROCK","ROCK","TOWN OF MAGNOLIA",469,0,43,405,405,0,405,0,9,0,0,0,6,1,0,0,0,0,31,19,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
"885","TOWN OF MAIDEN ROCK PIERCE","PIERCE","TOWN OF MAIDEN ROCK",361,6,42,339,339,0,72,267,6,0,0,0,1,3,0,0,0,0,30,20,0,0,30,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"886","TOWN OF MAINE OUTAGAMIE","OUTAGAMIE","TOWN OF MAINE",520,1,57,467,467,190,0,277,14,0,0,0,4,8,0,0,0,0,21,6,0,0,21,21,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"887","TOWN OF MANCHESTER GREEN LAKE","GREEN LAKE","TOWN OF MANCHESTER",428,0,38,359,359,38,0,221,5,0,0,0,1,2,0,0,0,0,22,4,1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"888","TOWN OF MANCHESTER JACKSON","JACKSON","TOWN OF MANCHESTER",449,1,56,400,400,31,0,369,9,0,0,0,1,4,0,0,0,0,33,18,0,0,32,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"889","TOWN OF MANITOWISH WATERS VILAS","VILAS","TOWN OF MANITOWISH WATERS",588,4,13,499,499,0,499,0,4,0,0,0,1,3,0,0,0,0,123,77,3,0,120,120,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"890","TOWN OF MANITOWOC MANITOWOC","MANITOWOC","TOWN OF MANITOWOC",661,0,63,594,594,0,594,0,8,0,0,0,2,2,0,0,0,0,45,22,1,0,45,45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"891","TOWN OF MANITOWOC RAPIDS MANITOWOC","MANITOWOC","TOWN OF MANITOWOC RAPIDS",1649,13,82,1443,1443,1443,0,0,11,0,0,1,2,8,0,0,0,0,206,48,4,0,202,201,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"892","TOWN OF MAPLE CREEK OUTAGAMIE","OUTAGAMIE","TOWN OF MAPLE CREEK",369,0,43,319,319,122,0,197,7,0,0,0,0,7,0,0,0,0,15,11,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"893","TOWN OF MAPLE DOUGLAS","DOUGLAS","TOWN OF MAPLE",446,0,53,394,394,0,394,0,3,0,0,0,0,1,0,0,0,0,22,9,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"894","TOWN OF MAPLE GROVE BARRON","BARRON","TOWN OF MAPLE GROVE",576,8,42,487,487,26,0,0,5,0,0,0,2,0,0,0,0,0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"895","TOWN OF MAPLE GROVE MANITOWOC","MANITOWOC","TOWN OF MAPLE GROVE",503,1,38,449,449,449,0,0,10,0,0,0,2,8,0,0,0,0,25,10,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"896","TOWN OF MAPLE GROVE SHAWANO","SHAWANO","TOWN OF MAPLE GROVE",544,3,55,491,492,98,0,393,5,0,0,0,0,2,0,0,0,0,62,21,0,0,62,62,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"897","TOWN OF MAPLE PLAIN BARRON","BARRON","TOWN OF MAPLE PLAIN",569,565,56,482,482,48,0,434,7,0,0,0,2,2,0,1,0,1,44,24,4,1,44,43,1,0,0,0,0,0,2,1,0,1,1,0,0,2,0,0,2,2,0,0
"898","TOWN OF MAPLE VALLEY OCONTO","OCONTO","TOWN OF MAPLE VALLEY",431,0,28,367,365,30,0,337,9,0,0,0,3,3,0,0,0,0,23,12,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"899","TOWN OF MAPLEHURST TAYLOR","TAYLOR","TOWN OF MAPLEHURST",205,19,19,174,174,46,0,128,3,0,0,0,2,1,0,0,0,0,14,9,0,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"900","TOWN OF MARATHON MARATHON","MARATHON","TOWN OF MARATHON",690,0,37,604,604,0,604,0,7,0,0,0,3,4,0,0,0,0,37,23,1,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"901","TOWN OF MARCELLON COLUMBIA","COLUMBIA","TOWN OF MARCELLON",602,0,42,525,525,0,525,0,5,0,0,0,0,2,0,0,0,0,46,24,3,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"902","TOWN OF MARENGO ASHLAND","ASHLAND","TOWN OF MARENGO",253,0,10,212,212,207,0,0,5,0,0,0,4,1,0,0,0,0,13,4,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"903","TOWN OF MARIETTA CRAWFORD","CRAWFORD","TOWN OF MARIETTA",310,1,23,266,266,109,0,157,6,0,0,0,1,5,0,0,0,0,12,7,0,0,12,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"904","TOWN OF MARION GRANT","GRANT","TOWN OF MARION",298,0,30,225,225,41,0,184,5,0,0,0,0,3,1,0,0,1,15,8,0,0,15,15,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"905","TOWN OF MARION JUNEAU","JUNEAU","TOWN OF MARION",279,0,26,248,248,53,0,195,3,0,0,0,1,1,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"906","TOWN OF MARION WAUSHARA","WAUSHARA","TOWN OF MARION",1357,17,90,1193,1193,0,1193,0,9,0,0,0,0,3,0,0,0,0,225,170,2,0,222,222,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0
"907","TOWN OF MARQUETTE GREEN LAKE","GREEN LAKE","TOWN OF MARQUETTE",346,22,22,282,282,49,0,233,8,0,0,0,4,3,0,0,0,0,41,13,1,0,41,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"908","TOWN OF MARSHALL RICHLAND","RICHLAND","TOWN OF MARSHALL",371,0,8,302,302,189,0,113,6,0,0,1,1,3,1,1,1,0,43,19,2,0,41,41,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
"909","TOWN OF MARSHALL RUSK","RUSK","TOWN OF MARSHALL",242,0,27,212,212,24,0,188,6,0,0,0,4,2,0,0,0,0,18,14,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"910","TOWN OF MARSHFIELD FOND DU LAC","FOND DU LAC","TOWN OF MARSHFIELD",725,1,37,653,653,0,653,0,3,0,0,0,1,2,0,0,0,0,84,17,1,0,83,83,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"911","TOWN OF MARSHFIELD WOOD","WOOD","TOWN OF MARSHFIELD",494,4,27,446,446,0,446,0,4,0,0,0,0,2,0,0,0,0,37,10,1,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"912","TOWN OF MARTELL PIERCE","PIERCE","TOWN OF MARTELL",764,6,84,682,682,3,370,309,21,0,0,1,5,11,0,0,0,0,43,0,0,0,43,43,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,2,2,0,0
"913","TOWN OF MASON BAYFIELD","BAYFIELD","TOWN OF MASON",184,0,17,170,170,0,170,0,6,0,0,0,4,0,0,0,0,0,10,3,0,0,10,10,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"914","TOWN OF MATTESON WAUPACA","WAUPACA","TOWN OF MATTESON",568,1,60,519,519,197,0,322,6,0,0,0,2,2,0,0,0,0,31,15,0,0,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"915","TOWN OF MAXVILLE BUFFALO","BUFFALO","TOWN OF MAXVILLE",207,0,10,180,180,32,0,148,3,0,0,0,3,0,0,0,0,0,9,2,0,0,9,9,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"916","TOWN OF MAYVILLE CLARK","CLARK","TOWN OF MAYVILLE",436,1,37,356,356,168,0,188,5,0,0,1,1,2,0,0,0,0,20,9,1,0,19,17,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"917","TOWN OF MAZOMANIE DANE","DANE","TOWN OF MAZOMANIE",752,0,61,753,753,753,0,0,10,0,0,0,6,4,0,0,0,0,66,47,2,0,17,66,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"918","TOWN OF MCKINLEY POLK","POLK","TOWN OF MCKINLEY",191,1,33,192,192,16,0,176,3,0,0,0,2,0,0,0,0,0,11,8,2,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"919","TOWN OF MCKINLEY TAYLOR","TAYLOR","TOWN OF MCKINLEY",199,1,18,174,174,41,0,133,3,0,0,0,1,1,0,0,0,0,22,20,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"920","TOWN OF MCMILLAN MARATHON","MARATHON","TOWN OF MCMILLAN",1381,15,98,1199,1199,0,1199,0,7,0,0,0,0,2,0,0,0,0,149,104,0,0,134,134,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"921","TOWN OF MEAD CLARK","CLARK","TOWN OF MEAD",176,0,11,148,148,11,0,137,3,0,0,0,0,1,0,0,0,0,13,2,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"922","TOWN OF MEADOWBROOK SAWYER","SAWYER","TOWN OF MEADOWBROOK",95,0,9,79,79,20,0,59,3,0,0,0,1,2,0,0,0,0,8,4,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"923","TOWN OF MECAN MARQUETTE","MARQUETTE","TOWN OF MECAN",436,0,45,383,383,45,0,338,5,0,0,0,0,3,0,0,0,0,46,35,1,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"924","TOWN OF MEDARY LA CROSSE","LA CROSSE","TOWN OF MEDARY",1138,15,80,980,980,0,980,0,9,0,0,0,0,9,0,0,0,0,204,155,5,0,199,199,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0
"925","TOWN OF MEDFORD TAYLOR","TAYLOR","TOWN OF MEDFORD",1453,7,133,1305,1305,0,969,336,11,0,0,0,2,5,0,1,1,0,100,28,1,0,99,99,0,0,0,0,0,0,2,1,0,1,1,0,0,1,1,0,1,1,0,0
"926","TOWN OF MEDINA DANE","DANE","TOWN OF MEDINA",852,5,83,760,760,0,760,0,8,0,0,0,2,5,0,0,0,0,79,55,3,0,75,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927","TOWN OF MEEME MANITOWOC","MANITOWOC","TOWN OF MEEME",972,0,57,858,858,0,858,0,28,0,0,0,14,10,0,0,0,0,63,35,0,0,63,63,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,1,0,0
"928","TOWN OF MEENON BURNETT","BURNETT","TOWN OF MEENON",656,3,70,561,561,129,0,432,5,0,0,0,1,4,0,0,0,0,54,8,3,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929","TOWN OF MELROSE JACKSON","JACKSON","TOWN OF MELROSE",249,2,20,227,227,17,0,210,3,0,0,0,0,3,0,0,0,0,7,2,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
