"","muni_county","county","municipality","registrants","late_registrants","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","auto_mark","total_election_inspectors","x16_17","x18_25","x26_40","x41_60","x61_70","x71","absentee_issued","absentee_in_person","absentee_not_returned","absentee_undeliverable","received_by_election_day","counted_absent","rejected_absent","late_received_after_the_election","fwab_received","fwab_counted","fwab_rejected","fwab_late","military_issued","military_sent_but_not_returned","military_undeliverable","military_received_by_election_day","military_counted","military_rejected","military_late","overseas_issued","overseas_sent_but_not_returned","overseas_undeliverable","overseas_received_by_election_day","overseas_counted","overseas_rejected","overseas_late"
"891","TOWN OF MADGE WASHBURN","WASHBURN","TOWN OF MADGE",395,3,346,346,128,0,218,0,5,0,0,0,1,2,2,60,17,0,0,59,60,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"892","TOWN OF MADISON DANE","DANE","TOWN OF MADISON",3293,122,2572,2577,0,2572,0,0,30,0,1,6,19,4,0,741,646,8,0,730,57,1,0,0,0,0,0,2,1,0,1,0,0,0,8,1,0,6,6,0,1
"893","TOWN OF MAGNOLIA ROCK","ROCK","TOWN OF MAGNOLIA",498,1,433,433,0,433,0,0,7,0,0,0,1,3,3,48,25,1,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"894","TOWN OF MAIDEN ROCK PIERCE","PIERCE","TOWN OF MAIDEN ROCK",391,2,323,323,77,0,246,0,5,0,0,0,1,3,1,24,15,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"895","TOWN OF MAINE OUTAGAMIE","OUTAGAMIE","TOWN OF MAINE",505,0,433,433,204,0,229,0,11,0,0,1,0,7,3,22,5,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"896","TOWN OF MANCHESTER GREEN LAKE","GREEN LAKE","TOWN OF MANCHESTER",465,2,404,404,48,0,356,0,3,0,0,0,1,0,2,25,2,2,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"897","TOWN OF MANCHESTER JACKSON","JACKSON","TOWN OF MANCHESTER",463,4,373,373,40,0,333,0,3,0,0,0,0,0,3,39,11,0,0,39,39,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"898","TOWN OF MANITOWISH WATERS VILAS","VILAS","TOWN OF MANITOWISH WATERS",579,82,534,534,0,534,0,0,8,0,0,0,4,4,0,101,69,2,0,99,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"899","TOWN OF MANITOWOC MANITOWOC","MANITOWOC","TOWN OF MANITOWOC",702,0,607,607,0,596,0,11,9,0,0,0,0,4,5,63,0,1,0,61,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"900","TOWN OF MANITOWOC RAPIDS MANITOWOC","MANITOWOC","TOWN OF MANITOWOC RAPIDS",1705,11,1532,1532,0,1529,0,3,9,0,0,0,0,6,3,263,106,3,0,260,2,0,0,1,1,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0
"901","TOWN OF MAPLE CREEK OUTAGAMIE","OUTAGAMIE","TOWN OF MAPLE CREEK",379,0,319,319,168,0,150,0,7,0,0,0,3,3,1,14,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"902","TOWN OF MAPLE DOUGLAS","DOUGLAS","TOWN OF MAPLE",469,0,406,406,0,406,0,6,3,0,0,0,1,2,0,30,14,0,0,30,30,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0
"903","TOWN OF MAPLE GROVE BARRON","BARRON","TOWN OF MAPLE GROVE",593,3,498,498,37,0,460,0,5,0,0,0,3,1,1,32,11,0,0,32,32,0,0,0,0,0,0,3,1,0,1,2,0,0,0,0,0,0,0,0,0
"904","TOWN OF MAPLE GROVE MANITOWOC","MANITOWOC","TOWN OF MAPLE GROVE",518,0,449,449,430,0,0,19,10,0,0,0,3,7,0,28,8,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"905","TOWN OF MAPLE GROVE SHAWANO","SHAWANO","TOWN OF MAPLE GROVE",575,2,517,517,156,0,361,0,5,0,0,0,2,0,3,64,13,1,0,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"906","TOWN OF MAPLE PLAIN BARRON","BARRON","TOWN OF MAPLE PLAIN",558,3,485,485,62,0,423,0,6,0,0,2,0,2,2,51,12,0,0,51,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"907","TOWN OF MAPLE VALLEY OCONTO","OCONTO","TOWN OF MAPLE VALLEY",452,1,388,388,48,0,340,0,10,0,0,1,0,9,0,43,14,0,0,43,43,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"908","TOWN OF MAPLEHURST TAYLOR","TAYLOR","TOWN OF MAPLEHURST",192,1,173,173,45,0,128,0,4,0,0,1,3,0,0,10,3,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"909","TOWN OF MARATHON MARATHON","MARATHON","TOWN OF MARATHON",729,2,644,644,0,644,0,2,7,0,0,0,2,2,3,53,20,1,1,51,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"910","TOWN OF MARCELLON COLUMBIA","COLUMBIA","TOWN OF MARCELLON",654,2,561,561,0,561,0,4,5,0,0,0,0,2,3,53,15,1,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"911","TOWN OF MARENGO ASHLAND","ASHLAND","TOWN OF MARENGO",231,0,208,208,208,0,0,0,5,0,0,0,1,3,1,20,16,2,0,18,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"912","TOWN OF MARIETTA CRAWFORD","CRAWFORD","TOWN OF MARIETTA",306,3,276,276,122,0,154,0,6,0,0,0,0,6,0,14,9,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"913","TOWN OF MARION GRANT","GRANT","TOWN OF MARION",277,0,236,236,77,0,159,0,3,0,0,0,1,2,0,13,0,0,0,13,13,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"914","TOWN OF MARION JUNEAU","JUNEAU","TOWN OF MARION",285,2,256,256,59,0,197,0,3,0,0,0,0,1,2,17,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"915","TOWN OF MARION WAUSHARA","WAUSHARA","TOWN OF MARION",1391,2,1191,1191,24,1167,0,0,7,0,0,0,0,4,3,179,75,7,0,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"916","TOWN OF MARQUETTE GREEN LAKE","GREEN LAKE","TOWN OF MARQUETTE",345,4,288,288,52,0,236,0,6,0,0,0,2,2,2,47,6,1,0,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"917","TOWN OF MARSHALL RICHLAND","RICHLAND","TOWN OF MARSHALL",350,0,320,320,241,0,79,0,6,0,0,2,2,1,1,30,5,0,0,28,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"918","TOWN OF MARSHALL RUSK","RUSK","TOWN OF MARSHALL",259,1,217,217,24,0,193,0,6,0,0,0,0,3,3,20,2,2,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"919","TOWN OF MARSHFIELD FOND DU LAC","FOND DU LAC","TOWN OF MARSHFIELD",735,2,663,663,0,663,0,0,3,0,0,0,1,0,2,86,14,0,0,86,86,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"920","TOWN OF MARSHFIELD WOOD","WOOD","TOWN OF MARSHFIELD",508,2,462,462,0,462,0,6,3,0,0,0,1,0,2,38,9,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"921","TOWN OF MARTELL PIERCE","PIERCE","TOWN OF MARTELL",770,0,702,701,5,373,324,0,18,0,0,0,3,15,0,59,10,4,0,56,56,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,0
"922","TOWN OF MASON BAYFIELD","BAYFIELD","TOWN OF MASON",199,0,181,181,0,181,0,0,6,0,0,0,4,1,1,15,1,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"923","TOWN OF MATTESON WAUPACA","WAUPACA","TOWN OF MATTESON",560,4,509,509,236,0,273,0,6,0,0,1,2,0,3,38,16,1,0,37,37,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"924","TOWN OF MAXVILLE BUFFALO","BUFFALO","TOWN OF MAXVILLE",198,1,164,164,35,0,129,0,4,0,0,0,2,0,2,9,1,0,0,9,9,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"925","TOWN OF MAYVILLE CLARK","CLARK","TOWN OF MAYVILLE",441,3,350,350,161,0,190,0,4,0,0,2,1,1,0,22,2,1,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926","TOWN OF MAZOMANIE DANE","DANE","TOWN OF MAZOMANIE",770,9,683,683,683,0,0,0,10,0,0,0,5,5,0,75,31,2,0,73,71,4,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,3,3,0,0
"927","TOWN OF MCKINLEY POLK","POLK","TOWN OF MCKINLEY",218,0,199,199,21,0,178,0,3,0,0,0,3,0,0,12,2,2,0,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928","TOWN OF MCKINLEY TAYLOR","TAYLOR","TOWN OF MCKINLEY",200,0,173,173,73,0,100,0,4,0,0,0,0,2,2,22,15,2,0,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"929","TOWN OF MCMILLAN MARATHON","MARATHON","TOWN OF MCMILLAN",1385,19,1181,1181,1181,1181,0,3,5,0,0,0,0,3,2,168,123,9,1,161,1,0,1,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0
"930","TOWN OF MEAD CLARK","CLARK","TOWN OF MEAD",170,4,146,146,16,0,130,0,3,0,0,0,0,3,0,16,2,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931","TOWN OF MEADOWBROOK SAWYER","SAWYER","TOWN OF MEADOWBROOK",108,0,82,82,16,0,66,0,3,0,0,0,2,1,0,4,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932","TOWN OF MECAN MARQUETTE","MARQUETTE","TOWN OF MECAN",465,0,381,382,1,0,381,0,3,0,0,0,2,2,2,38,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933","TOWN OF MEDARY LA CROSSE","LA CROSSE","TOWN OF MEDARY",1078,9,987,987,0,987,0,0,9,0,0,0,2,6,1,92,3,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"934","TOWN OF MEDFORD TAYLOR","TAYLOR","TOWN OF MEDFORD",1452,2,1267,1267,0,951,316,0,13,0,0,0,1,5,7,112,14,3,0,106,106,1,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0
"935","TOWN OF MEDINA DANE","DANE","TOWN OF MEDINA",864,3,794,794,0,794,0,0,10,0,0,0,1,6,3,55,0,0,0,55,55,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"936","TOWN OF MEEME MANITOWOC","MANITOWOC","TOWN OF MEEME",959,2,865,865,865,0,0,0,22,0,0,6,0,10,6,62,62,2,0,34,34,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"937","TOWN OF MEENON BURNETT","BURNETT","TOWN OF MEENON",643,3,544,544,199,0,345,0,6,0,0,0,0,6,0,51,7,2,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
"938","TOWN OF MELROSE JACKSON","JACKSON","TOWN OF MELROSE",260,0,221,221,25,0,196,0,3,0,0,0,0,2,1,11,6,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939","TOWN OF MENASHA WINNEBAGO","WINNEBAGO","TOWN OF MENASHA",10633,295,9602,9602,0,8076,1526,0,78,0,0,0,30,39,9,3318,2706,43,14,3196,3157,0,2,1,1,0,0,22,10,4,1,6,1,1,5,0,0,5,5,0,0
"940","TOWN OF MENOMINEE MENOMINEE","MENOMINEE","TOWN OF MENOMINEE",1850,15,1387,1387,0,1387,0,0,8,0,0,0,2,2,4,152,116,0,1,21,154,2,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,1,0,0,0
"941","TOWN OF MENOMONIE DUNN","DUNN","TOWN OF MENOMONIE",2021,6,1781,1781,16,1610,152,0,14,0,0,0,7,7,0,201,59,3,0,198,198,2,0,0,0,0,0,7,4,0,3,3,0,0,4,0,0,4,0,0,0
"942","TOWN OF MENTOR CLARK","CLARK","TOWN OF MENTOR",324,0,249,249,70,0,179,0,4,0,0,2,0,1,1,11,4,0,0,11,11,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"943","TOWN OF MERCER IRON","IRON","TOWN OF MERCER",1180,10,994,994,940,0,54,0,17,4,0,0,3,4,6,221,114,2,0,219,219,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"944","TOWN OF MERRILL LINCOLN","LINCOLN","TOWN OF MERRILL",1870,6,1639,1639,5,1634,0,3,12,0,0,0,1,3,8,154,16,7,0,144,146,1,0,1,1,0,0,4,0,0,2,4,0,0,0,0,0,0,0,0,0
"945","TOWN OF MERRIMAC SAUK","SAUK","TOWN OF MERRIMAC",701,12,654,654,0,300,354,0,11,0,0,1,2,8,0,92,39,0,0,92,92,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"946","TOWN OF MERTON WAUKESHA","WAUKESHA","TOWN OF MERTON",6058,110,5578,5578,101,5298,179,0,23,0,0,0,3,14,6,1990,1540,12,1,1887,1974,0,3,0,0,0,0,10,4,0,6,6,0,0,9,3,0,5,6,0,2
"947","TOWN OF METEOR SAWYER","SAWYER","TOWN OF METEOR",120,2,91,91,8,0,83,0,3,0,0,0,0,2,1,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948","TOWN OF METOMEN FOND DU LAC","FOND DU LAC","TOWN OF METOMEN",450,2,408,408,0,389,19,0,3,0,0,0,1,2,0,29,12,1,0,28,28,0,0,1,1,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0
"949","TOWN OF MIDDLE INLET MARINETTE","MARINETTE","TOWN OF MIDDLE INLET",524,0,459,459,77,0,382,0,10,0,0,0,0,5,5,57,0,0,0,57,57,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"950","TOWN OF MIDDLETON DANE","DANE","TOWN OF MIDDLETON",4272,78,4036,4036,0,4036,0,1,55,3,4,2,17,21,8,1816,1534,4,0,1806,1816,0,0,8,8,0,0,6,1,0,5,5,0,0,0,0,0,0,0,0,0
"951","TOWN OF MIFFLIN IOWA","IOWA","TOWN OF MIFFLIN",351,0,296,296,15,0,281,0,3,0,0,0,2,1,0,19,2,2,0,14,14,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"952","TOWN OF MILFORD JEFFERSON","JEFFERSON","TOWN OF MILFORD",726,6,637,637,0,637,0,0,3,0,0,0,2,0,1,40,15,1,0,37,41,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"953","TOWN OF MILLADORE WOOD","WOOD","TOWN OF MILLADORE",427,416,356,356,0,356,0,1,3,0,0,2,0,0,1,19,4,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954","TOWN OF MILLSTON JACKSON","JACKSON","TOWN OF MILLSTON",130,0,102,102,15,0,87,0,3,0,0,0,1,2,0,10,5,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955","TOWN OF MILLTOWN POLK","POLK","TOWN OF MILLTOWN",777,0,672,672,324,0,348,0,7,0,0,0,0,4,3,73,73,4,0,69,69,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"956","TOWN OF MILLVILLE GRANT","GRANT","TOWN OF MILLVILLE",96,1,91,91,14,0,76,0,3,0,0,0,1,0,2,6,1,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957","TOWN OF MILTON BUFFALO","BUFFALO","TOWN OF MILTON",351,0,310,310,24,0,286,0,7,0,0,1,3,1,2,14,10,1,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958","TOWN OF MILTON ROCK","ROCK","TOWN OF MILTON",1902,40,1691,1691,0,1691,0,0,34,0,0,0,12,6,16,596,387,1,0,217,219,0,0,0,0,0,0,3,2,0,2,2,0,0,0,0,0,0,0,0,0
"959","TOWN OF MINERAL POINT IOWA","IOWA","TOWN OF MINERAL POINT",589,200,517,517,53,0,464,0,5,0,0,0,2,3,0,39,12,0,0,37,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960","TOWN OF MINOCQUA ONEIDA","ONEIDA","TOWN OF MINOCQUA",3550,76,3105,3105,0,3105,0,0,11,0,0,0,9,2,0,974,521,25,3,969,5,0,1,0,0,0,0,2,0,0,2,0,0,0,5,0,0,5,5,0,0
"961","TOWN OF MINONG WASHBURN","WASHBURN","TOWN OF MINONG",629,7,565,564,221,0,344,0,7,0,0,0,1,5,1,97,65,0,0,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"962","TOWN OF MISHICOT MANITOWOC","MANITOWOC","TOWN OF MISHICOT",808,5,694,694,0,693,0,1,14,0,0,0,4,10,0,65,34,0,1,65,64,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0
"963","TOWN OF MITCHELL SHEBOYGAN","SHEBOYGAN","TOWN OF MITCHELL",845,0,775,775,0,548,223,0,16,0,0,0,5,9,0,86,38,1,0,86,86,0,0,0,0,0,0,1,0,0,1,1,0,0,4,0,0,4,0,0,0
"964","TOWN OF MODENA BUFFALO","BUFFALO","TOWN OF MODENA",213,0,177,177,13,0,164,0,4,0,1,0,0,3,0,4,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"965","TOWN OF MOLITOR TAYLOR","TAYLOR","TOWN OF MOLITOR",202,0,182,182,20,0,162,0,3,0,0,1,0,1,1,19,3,0,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"966","TOWN OF MONDOVI BUFFALO","BUFFALO","TOWN OF MONDOVI",294,0,265,265,23,0,242,0,6,0,0,1,1,4,0,15,6,1,0,8,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"967","TOWN OF MONICO ONEIDA","ONEIDA","TOWN OF MONICO",184,0,158,158,11,0,147,0,3,0,0,0,1,2,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"968","TOWN OF MONROE ADAMS","ADAMS","TOWN OF MONROE",305,0,263,263,55,0,208,0,5,0,0,0,1,0,4,26,0,1,0,25,25,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"969","TOWN OF MONROE GREEN","GREEN","TOWN OF MONROE",765,17,687,687,0,687,0,0,6,0,0,0,0,0,0,94,12,0,0,94,94,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0
"970","TOWN OF MONTANA BUFFALO","BUFFALO","TOWN OF MONTANA",172,0,150,150,68,0,82,0,6,0,0,0,1,5,0,8,3,1,0,7,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"971","TOWN OF MONTELLO MARQUETTE","MARQUETTE","TOWN OF MONTELLO",730,3,635,635,55,0,580,0,5,0,0,0,1,2,2,52,26,1,0,51,51,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"972","TOWN OF MONTICELLO LAFAYETTE","LAFAYETTE","TOWN OF MONTICELLO",69,0,60,60,3,0,57,0,3,0,0,0,1,2,0,4,2,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"973","TOWN OF MONTPELIER KEWAUNEE","KEWAUNEE","TOWN OF MONTPELIER",880,2,793,793,0,612,181,0,3,0,0,0,1,2,1,59,15,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974","TOWN OF MONTROSE DANE","DANE","TOWN OF MONTROSE",778,0,700,700,0,699,0,0,3,0,0,0,1,0,2,77,59,0,0,76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"975","TOWN OF MORGAN OCONTO","OCONTO","TOWN OF MORGAN",644,3,580,579,61,242,277,0,7,0,0,1,1,5,0,51,3,0,0,51,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"976","TOWN OF MORRIS SHAWANO","SHAWANO","TOWN OF MORRIS",290,1,237,237,46,0,191,0,5,0,0,0,0,2,3,20,7,1,0,19,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"977","TOWN OF MORRISON BROWN","BROWN","TOWN OF MORRISON",1032,9,900,900,0,900,0,0,13,0,1,0,5,1,6,899,31,4,1,87,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"978","TOWN OF MORSE ASHLAND","ASHLAND","TOWN OF MORSE",351,2,308,308,308,0,0,0,6,0,0,0,0,6,0,36,8,0,0,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"979","TOWN OF MOSCOW IOWA","IOWA","TOWN OF MOSCOW",413,0,372,372,52,0,320,0,3,0,0,0,1,2,0,45,15,0,0,45,45,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,2,0,0
"980","TOWN OF MOSEL SHEBOYGAN","SHEBOYGAN","TOWN OF MOSEL",533,4,510,510,0,400,110,0,11,0,0,0,4,6,1,41,17,1,0,40,40,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"981","TOWN OF MOSINEE MARATHON","MARATHON","TOWN OF MOSINEE",1441,0,1217,1217,0,1217,0,0,5,0,0,0,0,0,5,94,19,9,0,85,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"982","TOWN OF MOUNDVILLE MARQUETTE","MARQUETTE","TOWN OF MOUNDVILLE",306,1,259,259,18,0,241,0,3,0,0,0,0,0,3,17,4,0,0,17,17,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"983","TOWN OF MOUNT HOPE GRANT","GRANT","TOWN OF MOUNT HOPE",105,0,101,101,21,0,80,0,3,0,0,1,0,1,1,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"984","TOWN OF MOUNT IDA GRANT","GRANT","TOWN OF MOUNT IDA",300,1,247,247,44,0,203,0,3,0,0,0,2,1,0,15,5,0,0,14,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"985","TOWN OF MOUNT MORRIS WAUSHARA","WAUSHARA","TOWN OF MOUNT MORRIS",822,0,743,743,159,0,584,0,7,0,0,0,0,5,2,84,21,0,2,80,82,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"986","TOWN OF MOUNT PLEASANT GREEN","GREEN","TOWN OF MOUNT PLEASANT",746,6,344,344,0,344,0,0,6,0,0,0,0,0,0,58,18,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0
"987","TOWN OF MOUNTAIN OCONTO","OCONTO","TOWN OF MOUNTAIN",571,2,465,465,0,98,367,0,7,0,0,1,2,4,0,68,38,1,0,67,66,1,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0
"988","TOWN OF MUKWA WAUPACA","WAUPACA","TOWN OF MUKWA",1804,18,1622,1622,0,1296,326,0,10,0,0,0,0,3,7,250,102,2,1,247,247,2,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,2,0,0,0
"989","TOWN OF MUKWONAGO WAUKESHA","WAUKESHA","TOWN OF MUKWONAGO",5529,58,5022,5022,41,4981,0,0,78,4,12,0,4,24,34,2565,1915,110,2,2472,1747,10,0,0,0,0,0,14,7,0,7,7,0,0,3,0,0,1,3,0,0
"990","TOWN OF MURRY RUSK","RUSK","TOWN OF MURRY",160,1,129,129,45,0,84,0,5,0,0,0,2,3,0,20,5,0,0,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
"991","TOWN OF MUSCODA GRANT","GRANT","TOWN OF MUSCODA",378,0,306,306,30,0,276,0,7,2,0,0,1,4,0,23,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"992","TOWN OF NAMAKAGON BAYFIELD","BAYFIELD","TOWN OF NAMAKAGON",242,0,228,228,0,228,0,1,5,0,0,0,5,0,0,57,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"993","TOWN OF NAPLES BUFFALO","BUFFALO","TOWN OF NAPLES",416,3,375,375,151,0,224,0,3,0,0,0,1,2,0,28,8,2,0,26,258,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"994","TOWN OF NASEWAUPEE DOOR","DOOR","TOWN OF NASEWAUPEE",1406,6,1239,1241,0,1043,196,0,9,0,0,0,2,6,1,155,43,0,0,155,150,5,0,0,0,0,0,2,0,0,2,1,1,0,1,0,0,1,1,0,0
"995","TOWN OF NASHVILLE FOREST","FOREST","TOWN OF NASHVILLE",766,4,592,592,168,0,424,0,20,0,0,0,0,12,8,75,17,0,1,73,73,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
"996","TOWN OF NAVARINO SHAWANO","SHAWANO","TOWN OF NAVARINO",283,0,245,245,72,0,173,0,5,0,0,1,2,2,0,18,4,1,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997","TOWN OF NECEDAH JUNEAU","JUNEAU","TOWN OF NECEDAH",1353,0,1113,1113,182,0,931,0,16,0,0,0,4,10,2,179,0,7,0,170,172,0,0,0,0,0,0,7,1,0,5,6,0,0,0,0,0,0,0,0,0
"998","TOWN OF NEENAH WINNEBAGO","WINNEBAGO","TOWN OF NEENAH",2293,5,2106,2106,0,2097,19,0,12,0,0,0,3,3,6,487,351,2,0,481,481,4,0,0,0,0,0,4,0,0,3,4,0,0,1,0,0,1,1,0,0
"999","TOWN OF NEKIMI WINNEBAGO","WINNEBAGO","TOWN OF NEKIMI",989,0,895,894,0,652,243,0,16,0,0,0,4,2,10,65,30,0,0,65,65,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0
