County,,,Muni,HINDI,ward,Voter Count,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 18,675,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 19,1680,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 2,1729,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 20,1148,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 21,31,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 22,43,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 24,544,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 25,995,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 26,1303,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 27,1131,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 28,1103,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 29,1366,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 3,2026,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 30,1173,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 31,136,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 32,497,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 33,1226,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 34,374,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 35,1109,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 36,1456,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 37,880,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 38,1523,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 39,762,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 4,934,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 40,20,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 41,159,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 42,935,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 43,885,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 44,1267,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 45,1437,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 46,112,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 48,183,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City Of Appleton - Ward 49,106,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 5,3,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 50,163,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 51,959,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 52,111,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 53,22,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 54,1061,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 55,536,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 56,1,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 57,12,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 59,2,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 6,645,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 7,1309,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 8,1791,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,City of Appleton - Ward 9,1024,
OUTAGAMIE COUNTY,,,CITY OF APPLETON - MULTIPLE COUNTIES,45201,Village of Little Chute - Ward 1,1,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 1,874,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 10,1251,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 2,659,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 3,485,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 4,1136,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 5,1059,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 6,1002,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 7,1238,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 8,538,
OUTAGAMIE COUNTY,,,CITY OF KAUKAUNA - MULTIPLE COUNTIES,45241,City of Kaukauna - Ward 9,634,
OUTAGAMIE COUNTY,,,CITY OF SEYMOUR - OUTAGAMIE COUNTY,45281,City of Seymour - Ward 1,216,
OUTAGAMIE COUNTY,,,CITY OF SEYMOUR - OUTAGAMIE COUNTY,45281,City of Seymour - Ward 2,502,
OUTAGAMIE COUNTY,,,CITY OF SEYMOUR - OUTAGAMIE COUNTY,45281,City of Seymour - Ward 3,381,
OUTAGAMIE COUNTY,,,CITY OF SEYMOUR - OUTAGAMIE COUNTY,45281,City of Seymour - Ward 4,268,
OUTAGAMIE COUNTY,,,CITY OF SEYMOUR - OUTAGAMIE COUNTY,45281,City of Seymour - Ward 5,406,
OUTAGAMIE COUNTY,,,CITY OF SEYMOUR - OUTAGAMIE COUNTY,45281,City of Seymour - Ward 6,248,
OZAUKEE COUNTY,,,TOWN OF BELGIUM - OZAUKEE COUNTY,46002,Town of Belgium - Ward 1,244,
OZAUKEE COUNTY,,,TOWN OF BELGIUM - OZAUKEE COUNTY,46002,Town of Belgium - Ward 2,482,
OZAUKEE COUNTY,,,TOWN OF BELGIUM - OZAUKEE COUNTY,46002,Town of Belgium - Ward 3,363,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 1,538,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 10,418,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 2,437,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 3,762,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 4,370,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 5,485,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 6,363,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 7,457,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 8,333,
OZAUKEE COUNTY,,,TOWN OF CEDARBURG - OZAUKEE COUNTY,46004,Town of Cedarburg - Ward 9,459,
OZAUKEE COUNTY,,,TOWN OF FREDONIA - OZAUKEE COUNTY,46006,Town of Fredonia - Ward 1,663,
OZAUKEE COUNTY,,,TOWN OF FREDONIA - OZAUKEE COUNTY,46006,Town of Fredonia - Ward 2,90,
OZAUKEE COUNTY,,,TOWN OF FREDONIA - OZAUKEE COUNTY,46006,Town of Fredonia - Ward 3,156,
OZAUKEE COUNTY,,,TOWN OF FREDONIA - OZAUKEE COUNTY,46006,Town Of Fredonia - Ward 4,505,
OZAUKEE COUNTY,,,TOWN OF GRAFTON - OZAUKEE COUNTY,46008,Town of Grafton - Ward 1,615,
OZAUKEE COUNTY,,,TOWN OF GRAFTON - OZAUKEE COUNTY,46008,Town of Grafton - Ward 2,766,
OZAUKEE COUNTY,,,TOWN OF GRAFTON - OZAUKEE COUNTY,46008,Town of Grafton - Ward 3,762,
OZAUKEE COUNTY,,,TOWN OF GRAFTON - OZAUKEE COUNTY,46008,Town of Grafton - Ward 4,778,
OZAUKEE COUNTY,,,TOWN OF GRAFTON - OZAUKEE COUNTY,46008,Town of Grafton - Ward 5,256,
OZAUKEE COUNTY,,,TOWN OF PORT WASHINGTON - OZAUKEE COUNTY,46012,Town of Port Washington - Ward 1,592,
OZAUKEE COUNTY,,,TOWN OF PORT WASHINGTON - OZAUKEE COUNTY,46012,Town of Port Washington - Ward 2,575,
OZAUKEE COUNTY,,,TOWN OF SAUKVILLE - OZAUKEE COUNTY,46014,Town of Saukville - Ward 1,625,
OZAUKEE COUNTY,,,TOWN OF SAUKVILLE - OZAUKEE COUNTY,46014,Town of Saukville - Ward 2,743,
OZAUKEE COUNTY,,,TOWN OF SAUKVILLE - OZAUKEE COUNTY,46014,Town of Saukville - Ward 3,33,
OZAUKEE COUNTY,,,VILLAGE OF BELGIUM - OZAUKEE COUNTY,46106,Village of Belgium - Ward 1,582,
OZAUKEE COUNTY,,,VILLAGE OF BELGIUM - OZAUKEE COUNTY,46106,Village of Belgium - Ward 2,411,
OZAUKEE COUNTY,,,VILLAGE OF BELGIUM - OZAUKEE COUNTY,46106,Village Of Belgium - Ward 3,541,
OZAUKEE COUNTY,,,VILLAGE OF FREDONIA - OZAUKEE COUNTY,46126,Village of Fredonia - Ward 1,488,
OZAUKEE COUNTY,,,VILLAGE OF FREDONIA - OZAUKEE COUNTY,46126,Village of Fredonia - Ward 2,498,
OZAUKEE COUNTY,,,VILLAGE OF FREDONIA - OZAUKEE COUNTY,46126,Village of Fredonia - Ward 3,409,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 1,620,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 10,561,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 11,586,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 12,582,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 13,688,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 14,561,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 2,530,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 3,621,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 4,616,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 5,599,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 6,630,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 7,544,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 8,606,
OZAUKEE COUNTY,,,VILLAGE OF GRAFTON - OZAUKEE COUNTY,46131,Village of Grafton - Ward 9,579,
OZAUKEE COUNTY,,,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,Village of Saukville - Ward 1,545,
OZAUKEE COUNTY,,,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,Village of Saukville - Ward 2,473,
OZAUKEE COUNTY,,,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,Village of Saukville - Ward 3,439,
OZAUKEE COUNTY,,,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,Village of Saukville - Ward 4,201,
OZAUKEE COUNTY,,,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,Village of Saukville - Ward 5,237,
OZAUKEE COUNTY,,,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,Village of Saukville - Ward 6,533,
OZAUKEE COUNTY,,,VILLAGE OF SAUKVILLE - OZAUKEE COUNTY,46181,Village of Saukville - Ward 7,293,
OZAUKEE COUNTY,,,VILLAGE OF THIENSVILLE - OZAUKEE COUNTY,46186,Village of Thiensville - Ward 1,758,
OZAUKEE COUNTY,,,VILLAGE OF THIENSVILLE - OZAUKEE COUNTY,46186,Village of Thiensville - Ward 2,612,
OZAUKEE COUNTY,,,VILLAGE OF THIENSVILLE - OZAUKEE COUNTY,46186,Village of Thiensville - Ward 3,571,
OZAUKEE COUNTY,,,VILLAGE OF THIENSVILLE - OZAUKEE COUNTY,46186,Village of Thiensville - Ward 4,532,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 1,1299,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 2,1340,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 3,1252,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 4,1116,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 5,1111,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 6,1230,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 7,1227,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 8,4,
OZAUKEE COUNTY,,,CITY OF CEDARBURG - OZAUKEE COUNTY,46211,City of Cedarburg - Ward 9,2,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 1,1693,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 10,1217,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 11,1241,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 12,1019,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 13,882,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 14,500,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 15,1043,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 16,821,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 17,909,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 18,629,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 19,1032,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 2,638,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 20,952,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 21,297,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 3,1199,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 4,1025,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 5,779,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 6,1344,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 7 A,225,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City Of Mequon - Ward 7 B,319,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 8,656,
OZAUKEE COUNTY,,,CITY OF MEQUON - OZAUKEE COUNTY,46255,City of Mequon - Ward 9,471,
OZAUKEE COUNTY,,,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,46271,City of Port Washington - Ward 1,1215,
OZAUKEE COUNTY,,,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,46271,City of Port Washington - Ward 2,1056,
OZAUKEE COUNTY,,,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,46271,City of Port Washington - Ward 3,1088,
OZAUKEE COUNTY,,,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,46271,City of Port Washington - Ward 4,985,
OZAUKEE COUNTY,,,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,46271,City of Port Washington - Ward 5,1208,
OZAUKEE COUNTY,,,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,46271,City of Port Washington - Ward 6,1027,
OZAUKEE COUNTY,,,CITY OF PORT WASHINGTON - OZAUKEE COUNTY,46271,City of Port Washington - Ward 7,1083,
PEPIN COUNTY,,,TOWN OF ALBANY - PEPIN COUNTY,47002,Town of Albany - Ward 1,387,
PEPIN COUNTY,,,TOWN OF DURAND - PEPIN COUNTY,47004,Town of Durand - Ward 1,355,
PEPIN COUNTY,,,TOWN OF DURAND - PEPIN COUNTY,47004,Town of Durand - Ward 2,83,
PEPIN COUNTY,,,TOWN OF FRANKFORT - PEPIN COUNTY,47006,Town of Frankfort - Ward 1,237,
PEPIN COUNTY,,,TOWN OF LIMA - PEPIN COUNTY,47008,Town of Lima - Ward 1,330,
PEPIN COUNTY,,,TOWN OF LIMA - PEPIN COUNTY,47008,Town of Lima - Ward 2,43,
PEPIN COUNTY,,,TOWN OF PEPIN - PEPIN COUNTY,47010,Town of Pepin - Ward 1,301,
PEPIN COUNTY,,,TOWN OF PEPIN - PEPIN COUNTY,47010,Town of Pepin - Ward 2,226,
PEPIN COUNTY,,,TOWN OF STOCKHOLM - PEPIN COUNTY,47012,Town of Stockholm - Ward 1,155,
PEPIN COUNTY,,,TOWN OF WATERVILLE - PEPIN COUNTY,47014,Town of Waterville - Ward 1,356,
PEPIN COUNTY,,,TOWN OF WATERVILLE - PEPIN COUNTY,47014,Town of Waterville - Ward 2,140,
PEPIN COUNTY,,,TOWN OF WAUBEEK - PEPIN COUNTY,47016,Town of Waubeek - Ward 1,263,
PEPIN COUNTY,,,VILLAGE OF PEPIN - PEPIN COUNTY,47171,Village of Pepin - Ward 1,344,
PEPIN COUNTY,,,VILLAGE OF PEPIN - PEPIN COUNTY,47171,Village of Pepin - Ward 2,120,
PEPIN COUNTY,,,VILLAGE OF STOCKHOLM - PEPIN COUNTY,47181,Village of Stockholm - Ward 1,53,
PEPIN COUNTY,,,CITY OF DURAND - PEPIN COUNTY,47216,City of Durand - Ward 1,336,
PEPIN COUNTY,,,CITY OF DURAND - PEPIN COUNTY,47216,City of Durand - Ward 2,366,
PEPIN COUNTY,,,CITY OF DURAND - PEPIN COUNTY,47216,City of Durand - Ward 3,340,
PIERCE COUNTY,,,TOWN OF CLIFTON - PIERCE COUNTY,48002,Town of Clifton - Ward 1,302,
PIERCE COUNTY,,,TOWN OF CLIFTON - PIERCE COUNTY,48002,Town of Clifton - Ward 2,445,
PIERCE COUNTY,,,TOWN OF CLIFTON - PIERCE COUNTY,48002,Town Of Clifton - Ward 3,739,
PIERCE COUNTY,,,TOWN OF DIAMOND BLUFF - PIERCE COUNTY,48004,Town of Diamond Bluff - Ward 1,302,
PIERCE COUNTY,,,TOWN OF ELLSWORTH - PIERCE COUNTY,48006,Town of Ellsworth - Ward 1,595,
PIERCE COUNTY,,,TOWN OF ELLSWORTH - PIERCE COUNTY,48006,Town of Ellsworth - Ward 2,163,
PIERCE COUNTY,,,TOWN OF EL PASO - PIERCE COUNTY,48008,Town of El Paso - Ward 1,410,
PIERCE COUNTY,,,TOWN OF GILMAN - PIERCE COUNTY,48010,Town of Gilman - Ward 1,629,
PIERCE COUNTY,,,TOWN OF HARTLAND - PIERCE COUNTY,48012,Town of Hartland - Ward 1,554,
PIERCE COUNTY,,,TOWN OF ISABELLE - PIERCE COUNTY,48014,Town of Hartland - Ward 1,1,
PIERCE COUNTY,,,TOWN OF ISABELLE - PIERCE COUNTY,48014,Town of Isabelle - Ward 1,170,
PIERCE COUNTY,,,TOWN OF MAIDEN ROCK - PIERCE COUNTY,48016,Town of Maiden Rock - Ward 1,364,
PIERCE COUNTY,,,TOWN OF MARTELL - PIERCE COUNTY,48018,Town of Martell - Ward 1,277,
PIERCE COUNTY,,,TOWN OF MARTELL - PIERCE COUNTY,48018,Town of Martell - Ward 2,479,
PIERCE COUNTY,,,TOWN OF OAK GROVE - PIERCE COUNTY,48020,Town of Oak Grove - Ward 1,532,
PIERCE COUNTY,,,TOWN OF OAK GROVE - PIERCE COUNTY,48020,Town of Oak Grove - Ward 2,560,
PIERCE COUNTY,,,TOWN OF OAK GROVE - PIERCE COUNTY,48020,Town Of Oak Grove - Ward 3,428,
PIERCE COUNTY,,,TOWN OF RIVER FALLS - PIERCE COUNTY,48022,Town of River Falls - Ward 1,497,
PIERCE COUNTY,,,TOWN OF RIVER FALLS - PIERCE COUNTY,48022,Town of River Falls - Ward 2,611,
PIERCE COUNTY,,,TOWN OF RIVER FALLS - PIERCE COUNTY,48022,Town of River Falls - Ward 3,496,
PIERCE COUNTY,,,TOWN OF ROCK ELM - PIERCE COUNTY,48024,Town of Rock Elm - Ward 1,269,
PIERCE COUNTY,,,TOWN OF SALEM - PIERCE COUNTY,48026,Town of Salem - Ward 1,298,
PIERCE COUNTY,,,TOWN OF SPRING LAKE - PIERCE COUNTY,48028,Town of Spring Lake - Ward 1,288,
PIERCE COUNTY,,,TOWN OF SPRING LAKE - PIERCE COUNTY,48028,Town of Spring Lake - Ward 2,74,
PIERCE COUNTY,,,TOWN OF TRENTON - PIERCE COUNTY,48030,Town of Trenton - Ward 1,765,
PIERCE COUNTY,,,TOWN OF TRENTON - PIERCE COUNTY,48030,Town of Trenton - Ward 2,446,
PIERCE COUNTY,,,TOWN OF TRIMBELLE - PIERCE COUNTY,48032,Town of Trimbelle - Ward 1,573,
PIERCE COUNTY,,,TOWN OF TRIMBELLE - PIERCE COUNTY,48032,Town of Trimbelle - Ward 2,503,
PIERCE COUNTY,,,TOWN OF UNION - PIERCE COUNTY,48034,Town of Union - Ward 1,341,
PIERCE COUNTY,,,VILLAGE OF BAY CITY - PIERCE COUNTY,48106,Village of Bay City - Ward 1,233,
PIERCE COUNTY,,,VILLAGE OF ELLSWORTH - PIERCE COUNTY,48121,Village of Ellsworth - Ward 1,467,
PIERCE COUNTY,,,VILLAGE OF ELLSWORTH - PIERCE COUNTY,48121,Village of Ellsworth - Ward 2,405,
PIERCE COUNTY,,,VILLAGE OF ELLSWORTH - PIERCE COUNTY,48121,Village of Ellsworth - Ward 3,459,
PIERCE COUNTY,,,VILLAGE OF ELLSWORTH - PIERCE COUNTY,48121,Village of Ellsworth - Ward 4,444,
PIERCE COUNTY,,,VILLAGE OF ELMWOOD - PIERCE COUNTY,48122,Village of Elmwood - Ward 1,505,
PIERCE COUNTY,,,VILLAGE OF MAIDEN ROCK - PIERCE COUNTY,48151,Village of Maiden Rock - Ward 1,90,
PIERCE COUNTY,,,VILLAGE OF PLUM CITY - PIERCE COUNTY,48171,Village of Plum City - Ward 1,341,
PIERCE COUNTY,,,VILLAGE OF SPRING VALLEY - MULTIPLE COUNTIES,48181,Village of Spring Valley - Ward 1,285,
PIERCE COUNTY,,,VILLAGE OF SPRING VALLEY - MULTIPLE COUNTIES,48181,Village of Spring Valley - Ward 2,540,
PIERCE COUNTY,,,VILLAGE OF SPRING VALLEY - MULTIPLE COUNTIES,48181,Village of Spring Valley - Ward 3,7,
PIERCE COUNTY,,,CITY OF PRESCOTT - PIERCE COUNTY,48271,City of Prescott - Ward 1,548,
PIERCE COUNTY,,,CITY OF PRESCOTT - PIERCE COUNTY,48271,City of Prescott - Ward 2,596,
PIERCE COUNTY,,,CITY OF PRESCOTT - PIERCE COUNTY,48271,City of Prescott - Ward 3,641,
PIERCE COUNTY,,,CITY OF PRESCOTT - PIERCE COUNTY,48271,City of Prescott - Ward 4,461,
PIERCE COUNTY,,,CITY OF PRESCOTT - PIERCE COUNTY,48271,City Of Prescott - Ward 5,381,
PIERCE COUNTY,,,CITY OF PRESCOTT - PIERCE COUNTY,48271,City Of Prescott - Ward 6,198,
PIERCE COUNTY,,,CITY OF RIVER FALLS - MULTIPLE COUNTIES,48276,City of River Falls - Ward 1,402,
PIERCE COUNTY,,,CITY OF RIVER FALLS - MULTIPLE COUNTIES,48276,City of River Falls - Ward 10,235,
PIERCE COUNTY,,,CITY OF RIVER FALLS - MULTIPLE COUNTIES,48276,City of River Falls - Ward 11,824,
