"","muni_county","county","municipality","registrants","late_registrants","edrs","total_ballots","total_voters","paper_ballots","optical_scan_ballots","dre","absentee_issued","absentee_undeliverable","counted_absent","rejected_absent","fwab_counted","fwab_rejected","military_issued","military_undeliverable","military_counted","military_rejected","overseas_issued","overseas_undeliverable","overseas_counted","overseas_rejected","total_ballots_2008"
"984","TOWN OF MOUNT MORRIS WAUSHARA","WAUSHARA","TOWN OF MOUNT MORRIS",874,9,62,708,707,341,0,358,101,2,94,3,1,0,0,0,0,0,0,0,0,0,708
"985","TOWN OF MOUNT PLEASANT GREEN","GREEN","TOWN OF MOUNT PLEASANT",302,1,64,332,332,0,332,0,16,0,12,4,0,0,0,0,0,0,0,0,0,0,332
"986","TOWN OF MOUNTAIN OCONTO","OCONTO","TOWN OF MOUNTAIN",521,10,52,462,462,0,398,64,63,1,62,61,0,0,0,0,0,0,0,0,0,0,462
"987","TOWN OF MUKWA WAUPACA","WAUPACA","TOWN OF MUKWA",1426,35,283,1565,1561,0,1344,221,275,0,267,3,2,0,3,0,2,0,0,0,0,0,1565
"988","TOWN OF MUKWONAGO WAUKESHA","WAUKESHA","TOWN OF MUKWONAGO",5788,141,360,4816,4816,0,4814,2,1672,2,1659,0,3,0,12,0,9,0,7,0,3,0,4816
"989","TOWN OF MURRY RUSK","RUSK","TOWN OF MURRY",157,1,10,138,138,62,0,76,13,0,13,0,1,0,0,0,0,0,0,0,0,0,138
"990","TOWN OF MUSCODA GRANT","GRANT","TOWN OF MUSCODA",278,2,92,314,314,34,0,280,30,0,30,6,0,0,0,0,0,0,0,0,0,0,314
"991","TOWN OF NAMAKAGON BAYFIELD","BAYFIELD","TOWN OF NAMAKAGON",236,6,22,228,228,228,0,0,36,0,2,0,0,0,0,0,0,0,0,0,0,0,228
"992","TOWN OF NAPLES BUFFALO","BUFFALO","TOWN OF NAPLES",310,7,68,347,347,188,0,159,21,0,21,0,0,0,1,0,1,0,0,0,0,0,347
"993","TOWN OF NASEWAUPEE DOOR","DOOR","TOWN OF NASEWAUPEE",2046,3,108,1217,1217,0,1141,76,156,2,146,1,2,0,1,0,1,0,0,0,0,0,1217
"994","TOWN OF NASHVILLE FOREST","FOREST","TOWN OF NASHVILLE",878,3,73,582,582,243,0,339,86,0,82,0,0,0,0,0,0,0,0,0,0,0,582
"995","TOWN OF NAVARINO SHAWANO","SHAWANO","TOWN OF NAVARINO",248,1,31,242,242,84,0,158,10,0,10,0,0,0,1,0,1,0,0,0,0,0,242
"996","TOWN OF NECEDAH JUNEAU","JUNEAU","TOWN OF NECEDAH",1643,37,118,1094,1096,164,0,930,145,0,145,1,1,0,2,0,2,0,0,0,0,0,1094
"997","TOWN OF NEENAH WINNEBAGO","WINNEBAGO","TOWN OF NEENAH",2157,4,215,1976,1976,0,1976,0,546,0,532,0,4,0,0,0,0,0,0,0,0,0,1976
"998","TOWN OF NEKIMI WINNEBAGO","WINNEBAGO","TOWN OF NEKIMI",872,13,148,880,881,0,713,167,69,0,69,0,0,0,3,0,2,0,0,0,0,0,880
"999","TOWN OF NELSON BUFFALO","BUFFALO","TOWN OF NELSON",327,0,54,304,304,53,0,251,15,1,13,1,1,1,0,0,0,0,0,0,0,0,304
"1000","TOWN OF NEPEUSKUN WINNEBAGO","WINNEBAGO","TOWN OF NEPEUSKUN",440,3,56,403,404,0,403,0,16,0,16,2,0,0,1,0,1,0,0,0,0,0,403
"1001","TOWN OF NESHKORO MARQUETTE","MARQUETTE","TOWN OF NESHKORO",343,14,67,345,345,43,0,302,45,0,43,2,0,0,2,0,2,0,0,0,0,0,345
"1002","TOWN OF NEVA LANGLADE","LANGLADE","TOWN OF NEVA",558,3,90,519,519,306,0,213,27,0,27,0,0,0,0,0,0,0,0,0,0,0,519
"1003","TOWN OF NEW CHESTER ADAMS","ADAMS","TOWN OF NEW CHESTER",440,9,71,407,407,240,0,167,41,0,40,1,0,0,0,0,0,0,0,0,0,0,407
"1004","TOWN OF NEW DENMARK BROWN","BROWN","TOWN OF NEW DENMARK",900,4,118,935,935,935,0,0,93,90,88,2,1,0,3,3,2,1,0,0,0,0,935
"1005","TOWN OF NEW DIGGINGS LAFAYETTE","LAFAYETTE","TOWN OF NEW DIGGINGS",261,0,52,253,253,13,0,240,9,0,9,0,0,0,0,0,0,0,0,0,0,0,253
"1006","TOWN OF NEW GLARUS GREEN","GREEN","TOWN OF NEW GLARUS",739,24,103,788,788,0,788,0,151,0,150,1,0,0,0,0,0,0,0,0,0,0,788
"1007","TOWN OF NEW HAVEN ADAMS","ADAMS","TOWN OF NEW HAVEN",374,12,66,390,390,185,0,205,56,0,56,0,0,0,0,0,0,0,0,0,0,0,390
"1008","TOWN OF NEW HAVEN DUNN","DUNN","TOWN OF NEW HAVEN",283,2,82,320,320,118,0,202,19,0,17,1,0,0,1,0,0,0,0,0,0,0,320
"1009","TOWN OF NEW HOLSTEIN CALUMET","CALUMET","TOWN OF NEW HOLSTEIN",723,59,97,787,787,0,685,100,59,0,59,1,2,1,1,0,1,0,0,0,0,0,787
"1010","TOWN OF NEW HOPE PORTAGE","PORTAGE","TOWN OF NEW HOPE",514,1,56,485,485,485,0,0,49,0,45,2,3,0,0,0,0,0,0,0,0,0,485
"1011","TOWN OF NEW LYME MONROE","MONROE","TOWN OF NEW LYME",72,0,16,75,75,26,0,49,8,0,8,0,0,0,0,0,0,0,0,0,0,0,75
"1012","TOWN OF NEWARK ROCK","ROCK","TOWN OF NEWARK",828,28,209,920,920,0,920,0,87,0,84,0,2,0,5,0,2,0,0,0,0,0,920
"1013","TOWN OF NEWBOLD ONEIDA","ONEIDA","TOWN OF NEWBOLD",1731,14,228,1773,1773,13,1760,0,216,0,208,5,2,0,3,0,3,0,0,0,0,0,1773
"1014","TOWN OF NEWPORT COLUMBIA","COLUMBIA","TOWN OF NEWPORT",393,44,39,364,364,0,364,0,29,0,26,4,0,0,0,0,0,0,0,0,0,0,364
"1015","TOWN OF NEWTON MANITOWOC","MANITOWOC","TOWN OF NEWTON",1291,9,214,1300,1300,1300,0,0,98,0,96,0,1,0,5,0,4,0,0,0,0,0,1300
"1016","TOWN OF NEWTON MARQUETTE","MARQUETTE","TOWN OF NEWTON",216,8,61,254,254,21,0,233,18,0,18,0,0,0,0,0,0,0,0,0,0,0,254
"1017","TOWN OF NIAGARA MARINETTE","MARINETTE","TOWN OF NIAGARA",500,4,64,485,485,204,281,0,60,0,54,2,0,0,0,0,0,0,0,0,0,0,485
"1018","TOWN OF NOKOMIS ONEIDA","ONEIDA","TOWN OF NOKOMIS",988,0,98,834,834,641,0,193,105,0,105,3,0,0,0,0,0,0,0,0,0,0,834
"1019","TOWN OF NORRIE MARATHON","MARATHON","TOWN OF NORRIE",414,1,132,496,496,496,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,496
"1020","TOWN OF NORTH BEND JACKSON","JACKSON","TOWN OF NORTH BEND",240,1,55,254,254,83,0,171,8,0,8,0,0,0,0,0,0,0,0,0,0,0,254
"1021","TOWN OF NORTH LANCASTER GRANT","GRANT","TOWN OF NORTH LANCASTER",285,0,47,259,259,107,0,152,25,0,24,1,0,0,0,0,0,0,0,0,0,0,259
"1022","TOWN OF NORTHFIELD JACKSON","JACKSON","TOWN OF NORTHFIELD",324,0,41,294,294,38,0,256,11,0,11,0,0,0,0,0,0,0,0,0,0,0,294
"1023","TOWN OF NORWAY RACINE","RACINE","TOWN OF NORWAY",5479,174,406,4661,4661,0,4337,324,1183,0,1162,0,2,0,7,0,2,0,0,0,0,0,4661
"1024","TOWN OF NORWOOD LANGLADE","LANGLADE","TOWN OF NORWOOD",489,3,86,509,509,222,0,287,28,0,26,4,0,0,0,0,0,0,0,0,0,0,509
"1025","TOWN OF OAK GROVE BARRON","BARRON","TOWN OF OAK GROVE",533,2,79,494,494,0,247,247,31,0,31,0,0,0,0,0,0,0,0,0,0,0,494
"1026","TOWN OF OAK GROVE DODGE","DODGE","TOWN OF OAK GROVE",520,5,115,590,591,0,590,0,42,0,40,1,1,1,2,1,0,0,0,0,0,0,590
"1027","TOWN OF OAK GROVE PIERCE","PIERCE","TOWN OF OAK GROVE",937,18,343,1191,1191,0,984,207,82,0,75,2,0,0,2,0,2,0,0,0,0,0,1191
"1028","TOWN OF OAKDALE MONROE","MONROE","TOWN OF OAKDALE",349,10,58,359,359,144,0,215,26,0,26,0,0,0,0,0,0,0,0,0,0,0,359
"1029","TOWN OF OAKFIELD FOND DU LAC","FOND DU LAC","TOWN OF OAKFIELD",396,0,60,381,381,0,381,0,36,0,34,0,0,0,2,0,1,0,0,0,0,0,381
"1030","TOWN OF OAKLAND BURNETT","BURNETT","TOWN OF OAKLAND",459,7,147,564,564,217,0,347,88,0,85,0,2,0,1,0,0,0,0,0,0,0,564
"1031","TOWN OF OAKLAND DOUGLAS","DOUGLAS","TOWN OF OAKLAND",673,0,132,674,674,0,674,0,36,0,35,1,0,0,0,0,0,0,0,0,0,0,674
"1032","TOWN OF OAKLAND JEFFERSON","JEFFERSON","TOWN OF OAKLAND",1761,52,210,1871,1871,2,1869,0,486,0,473,0,2,0,3,0,2,0,2,0,2,0,1871
"1033","TOWN OF OASIS WAUSHARA","WAUSHARA","TOWN OF OASIS",236,1,37,242,240,96,0,144,21,2,19,2,1,0,0,0,0,0,0,0,0,0,242
"1034","TOWN OF OCONOMOWOC WAUKESHA","WAUKESHA","TOWN OF OCONOMOWOC",5567,222,687,5303,5302,0,5297,6,1422,0,1422,0,10,0,8,0,6,0,0,0,0,0,5303
"1035","TOWN OF OCONTO FALLS OCONTO","OCONTO","TOWN OF OCONTO FALLS",752,12,59,678,678,0,220,458,64,0,62,0,0,0,0,0,0,0,0,0,0,0,678
"1036","TOWN OF OCONTO OCONTO","OCONTO","TOWN OF OCONTO",698,5,117,731,731,0,545,186,52,0,52,1,0,0,1,0,1,0,0,0,0,0,731
"1037","TOWN OF OGEMA PRICE","PRICE","TOWN OF OGEMA",404,7,30,382,382,216,0,166,43,0,43,1,0,0,1,0,1,0,0,0,0,0,382
"1038","TOWN OF OJIBWA SAWYER","SAWYER","TOWN OF OJIBWA",145,0,26,150,150,49,0,101,16,0,12,1,1,0,0,0,0,0,0,0,0,0,150
"1039","TOWN OF OMA IRON","IRON","TOWN OF OMA",230,1,18,214,214,210,0,4,46,0,45,0,0,0,0,0,0,0,0,0,0,0,214
"1040","TOWN OF OMRO WINNEBAGO","WINNEBAGO","TOWN OF OMRO",1272,50,196,1290,1290,0,1202,88,201,0,201,1,4,0,5,0,5,0,0,0,0,0,1290
"1041","TOWN OF ONALASKA LA CROSSE","LA CROSSE","TOWN OF ONALASKA",4571,157,267,3312,3312,0,3312,0,949,1,948,0,3,0,4,0,4,0,5,1,4,0,3312
"1042","TOWN OF ONEIDA OUTAGAMIE","OUTAGAMIE","TOWN OF ONEIDA",2955,53,303,1983,1984,0,1720,263,283,0,276,3,0,0,3,0,1,0,0,0,0,0,1983
"1043","TOWN OF ORANGE JUNEAU","JUNEAU","TOWN OF ORANGE",314,0,35,272,272,127,0,145,9,0,6,2,0,0,0,0,0,0,0,0,0,0,272
"1044","TOWN OF OREGON DANE","DANE","TOWN OF OREGON",2462,46,109,1990,1990,0,1990,0,765,0,747,0,3,0,6,1,3,1,6,0,0,0,1990
"1045","TOWN OF ORIENTA BAYFIELD","BAYFIELD","TOWN OF ORIENTA",76,1,13,81,81,79,0,2,8,8,8,0,0,0,0,0,0,0,0,0,0,0,81
"1046","TOWN OF ORION RICHLAND","RICHLAND","TOWN OF ORION",5,0,41,283,283,83,0,200,18,0,17,0,3,0,0,0,0,0,0,0,0,0,283
"1047","TOWN OF OSBORN OUTAGAMIE","OUTAGAMIE","TOWN OF OSBORN",647,5,90,608,608,0,418,190,41,0,36,1,1,0,0,0,0,0,0,0,0,0,608
"1048","TOWN OF OSCEOLA FOND DU LAC","FOND DU LAC","TOWN OF OSCEOLA",1188,0,166,1125,1125,0,1125,0,142,0,132,0,0,0,4,0,1,0,0,0,0,0,1125
"1049","TOWN OF OSCEOLA POLK","POLK","TOWN OF OSCEOLA",1185,45,0,1558,1558,4,1248,306,227,0,221,1,1,0,1,0,0,0,0,0,0,0,1558
"1050","TOWN OF OSHKOSH WINNEBAGO","WINNEBAGO","TOWN OF OSHKOSH",2111,28,141,1577,1581,0,1348,227,292,2,282,2,3,0,5,0,3,0,1,0,0,0,1577
"1051","TOWN OF OTSEGO COLUMBIA","COLUMBIA","TOWN OF OTSEGO",364,0,72,365,365,0,365,0,21,18,21,0,0,0,0,0,0,0,0,0,0,0,365
"1052","TOWN OF OTTAWA WAUKESHA","WAUKESHA","TOWN OF OTTAWA",2886,68,161,2477,2477,0,2273,204,886,0,878,1,8,0,2,1,1,0,1,0,1,0,2477
"1053","TOWN OF OTTER CREEK DUNN","DUNN","TOWN OF OTTER CREEK",326,0,31,274,274,155,0,119,18,0,18,0,0,0,0,0,0,0,0,0,0,0,274
"1054","TOWN OF OTTER CREEK EAU CLAIRE","EAU CLAIRE","TOWN OF OTTER CREEK",248,2,30,229,229,0,167,62,8,0,7,0,0,0,0,0,0,0,0,0,0,0,229
"1055","TOWN OF OULU BAYFIELD","BAYFIELD","TOWN OF OULU",365,9,18,308,308,308,0,1,23,0,23,0,0,0,0,0,0,0,0,0,0,0,308
"1056","TOWN OF OXFORD MARQUETTE","MARQUETTE","TOWN OF OXFORD",454,1,111,501,501,44,0,457,45,0,44,0,2,0,0,0,0,0,0,0,0,0,501
"1057","TOWN OF PACIFIC COLUMBIA","COLUMBIA","TOWN OF PACIFIC",1615,38,254,1610,1610,0,1610,3,302,3,292,4,0,0,3,0,1,0,0,0,1,0,1610
"1058","TOWN OF PACKWAUKEE MARQUETTE","MARQUETTE","TOWN OF PACKWAUKEE",764,0,139,788,788,86,0,702,85,0,85,0,0,0,2,0,0,0,0,0,0,0,788
"1059","TOWN OF PALMYRA JEFFERSON","JEFFERSON","TOWN OF PALMYRA",1046,8,76,776,776,0,776,0,105,0,104,0,2,0,1,0,1,0,0,0,0,0,776
"1060","TOWN OF PARIS GRANT","GRANT","TOWN OF PARIS",394,5,58,377,376,191,0,186,15,0,15,0,0,0,1,0,1,0,0,0,0,0,377
"1061","TOWN OF PARIS KENOSHA","KENOSHA","TOWN OF PARIS",1135,25,48,909,909,793,116,0,111,0,110,1,0,0,1,0,0,0,0,0,0,0,909
"1062","TOWN OF PARKLAND DOUGLAS","DOUGLAS","TOWN OF PARKLAND",716,12,96,661,661,660,0,1,42,0,40,1,0,0,2,0,1,0,0,0,0,0,661
"1063","TOWN OF PARRISH LANGLADE","LANGLADE","TOWN OF PARRISH",52,0,9,61,61,34,0,27,2,0,2,0,0,0,0,0,0,0,0,0,0,0,61
"1064","TOWN OF PATCH GROVE GRANT","GRANT","TOWN OF PATCH GROVE",149,2,30,155,155,62,0,93,14,0,14,0,0,0,0,0,0,0,0,0,0,0,155
"1065","TOWN OF PECK LANGLADE","LANGLADE","TOWN OF PECK",208,2,13,217,217,118,0,79,18,0,18,1,1,0,2,0,2,0,0,0,0,0,217
"1066","TOWN OF PEEKSVILLE ASHLAND","ASHLAND","TOWN OF PEEKSVILLE",115,0,7,101,101,101,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,101
"1067","TOWN OF PELICAN ONEIDA","ONEIDA","TOWN OF PELICAN",1677,24,240,1623,1623,0,1623,0,169,1,160,0,1,0,0,0,0,0,0,0,0,0,1623
"1068","TOWN OF PELLA SHAWANO","SHAWANO","TOWN OF PELLA",476,1,84,478,478,255,0,223,29,0,29,0,0,0,0,0,0,0,0,0,0,0,478
"1069","TOWN OF PEMBINE MARINETTE","MARINETTE","TOWN OF PEMBINE",551,7,80,509,509,284,0,225,48,0,46,0,0,0,1,0,1,0,0,0,0,0,509
"1070","TOWN OF PENCE IRON","IRON","TOWN OF PENCE",134,0,9,109,109,109,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,109
"1071","TOWN OF PENSAUKEE OCONTO","OCONTO","TOWN OF PENSAUKEE",668,24,148,749,749,0,496,253,81,0,79,2,0,0,1,0,1,0,0,0,0,0,749
"1072","TOWN OF PEPIN PEPIN","PEPIN","TOWN OF PEPIN",368,0,63,369,369,155,0,214,22,0,22,0,0,0,0,0,0,0,0,0,0,0,369
"1073","TOWN OF PERRY DANE","DANE","TOWN OF PERRY",470,0,54,465,465,0,465,0,47,1,37,2,2,0,0,0,0,0,0,0,0,0,465
"1074","TOWN OF PERSHING TAYLOR","TAYLOR","TOWN OF PERSHING",89,0,10,83,83,1,0,82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,83
"1075","TOWN OF PERU DUNN","DUNN","TOWN OF PERU",162,0,6,127,127,10,0,117,10,0,10,0,0,0,0,0,0,0,0,0,0,0,127
"1076","TOWN OF PESHTIGO MARINETTE","MARINETTE","TOWN OF PESHTIGO",2373,28,217,2194,2203,0,322,1872,282,11,269,2,0,0,3,0,1,0,0,0,1,0,2194
"1077","TOWN OF PHELPS VILAS","VILAS","TOWN OF PHELPS",888,23,58,815,815,0,815,0,109,0,109,2,0,0,0,0,0,0,1,0,1,0,815
"1078","TOWN OF PIEHL ONEIDA","ONEIDA","TOWN OF PIEHL",63,0,10,57,57,2,0,55,2,0,2,0,0,0,0,0,0,0,0,0,0,0,57
"1079","TOWN OF PIERCE KEWAUNEE","KEWAUNEE","TOWN OF PIERCE",491,0,38,455,455,455,0,0,32,0,30,0,0,0,1,0,1,0,1,0,1,0,455
"1080","TOWN OF PIGEON TREMPEALEAU","TREMPEALEAU","TOWN OF PIGEON",413,4,52,364,3692,362,0,0,8,0,6,3,0,0,0,0,0,0,0,0,0,0,364
"1081","TOWN OF PILSEN BAYFIELD","BAYFIELD","TOWN OF PILSEN",157,1,10,153,152,152,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,153
"1082","TOWN OF PINE GROVE PORTAGE","PORTAGE","TOWN OF PINE GROVE",381,14,77,412,412,375,0,37,51,0,51,0,0,0,0,0,0,0,1,0,1,0,412
"1083","TOWN OF PINE LAKE ONEIDA","ONEIDA","TOWN OF PINE LAKE",1906,19,177,1707,1707,0,1707,0,150,0,140,3,2,0,3,0,1,0,0,0,0,1,1707
"1084","TOWN OF PINE RIVER LINCOLN","LINCOLN","TOWN OF PINE RIVER",1093,17,160,1108,1108,1108,0,0,101,4,96,1,0,0,4,0,3,1,0,0,0,0,1108
"1085","TOWN OF PINE VALLEY CLARK","CLARK","TOWN OF PINE VALLEY",648,0,74,598,598,0,507,91,33,0,28,2,0,0,1,0,0,0,0,0,0,0,598
"1086","TOWN OF PITTSFIELD BROWN","BROWN","TOWN OF PITTSFIELD",1405,40,262,1534,1534,0,1544,0,217,1,212,10,0,0,4,1,1,0,0,0,0,0,1534
"1087","TOWN OF PLAINFIELD WAUSHARA","WAUSHARA","TOWN OF PLAINFIELD",293,3,34,260,260,99,0,161,22,0,0,0,0,0,0,0,0,0,0,0,0,0,260
"1088","TOWN OF PLATTEVILLE GRANT","GRANT","TOWN OF PLATTEVILLE",775,6,127,750,750,448,0,302,72,70,70,3,2,0,0,0,0,0,0,0,0,0,750
"1089","TOWN OF PLEASANT SPRINGS DANE","DANE","TOWN OF PLEASANT SPRINGS",1756,86,228,1862,1862,0,1862,0,514,0,504,3,0,0,7,1,1,0,7,2,1,0,1862
"1090","TOWN OF PLEASANT VALLEY EAU CLAIRE","EAU CLAIRE","TOWN OF PLEASANT VALLEY",1713,23,357,1923,1923,0,1919,4,191,0,185,0,1,0,3,0,2,0,1,0,0,0,1923
"1091","TOWN OF PLEASANT VALLEY ST. CROIX","ST. CROIX","TOWN OF PLEASANT VALLEY",237,0,59,277,277,37,0,240,20,0,18,0,1,0,1,0,1,0,0,0,0,0,277
"1092","TOWN OF PLOVER MARATHON","MARATHON","TOWN OF PLOVER",321,13,72,333,333,0,0,333,35,0,31,4,0,0,1,0,1,0,0,0,0,0,333
"1093","TOWN OF PLOVER PORTAGE","PORTAGE","TOWN OF PLOVER",805,140,1,840,840,0,841,0,154,0,151,1,1,0,1,0,1,0,0,0,0,0,840
"1094","TOWN OF PLUM LAKE VILAS","VILAS","TOWN OF PLUM LAKE",455,2,33,372,372,0,372,0,34,0,33,1,1,0,0,0,0,0,0,0,0,0,372
"1095","TOWN OF PLYMOUTH JUNEAU","JUNEAU","TOWN OF PLYMOUTH",383,4,36,324,324,168,0,156,42,0,42,0,0,0,0,0,0,0,0,0,0,0,324
"1096","TOWN OF PLYMOUTH ROCK","ROCK","TOWN OF PLYMOUTH",691,19,118,717,717,0,717,0,74,0,70,0,0,0,3,0,0,0,0,0,0,0,717
"1097","TOWN OF PLYMOUTH SHEBOYGAN","SHEBOYGAN","TOWN OF PLYMOUTH",1963,66,161,1907,1909,0,1810,97,564,0,560,2,3,0,5,0,5,0,0,0,0,0,1907
"1098","TOWN OF POLAR LANGLADE","LANGLADE","TOWN OF POLAR",595,10,70,577,577,207,0,370,36,0,36,0,1,0,0,0,0,0,0,0,0,0,577
"1099","TOWN OF POLK WASHINGTON","WASHINGTON","TOWN OF POLK",2402,152,448,2470,2470,0,2470,0,821,6,815,0,0,0,4,0,3,0,4,0,0,0,2470
"1100","TOWN OF POPPLE RIVER FOREST","FOREST","TOWN OF POPPLE RIVER",35,0,4,31,31,4,0,27,4,0,4,0,1,0,0,0,0,0,0,0,0,0,31
"1101","TOWN OF PORT EDWARDS WOOD","WOOD","TOWN OF PORT EDWARDS",606,10,151,695,695,0,695,53,46,0,45,0,0,0,3,0,2,0,0,0,0,0,695
"1102","TOWN OF PORT WASHINGTON OZAUKEE","OZAUKEE","TOWN OF PORT WASHINGTON",1060,40,84,923,923,0,714,209,146,8,138,0,0,0,2,0,1,0,0,0,0,0,923
"1103","TOWN OF PORT WING BAYFIELD","BAYFIELD","TOWN OF PORT WING",273,4,36,281,281,281,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,281
"1104","TOWN OF PORTER ROCK","ROCK","TOWN OF PORTER",599,12,88,595,595,595,0,0,43,0,43,0,0,0,0,0,0,0,0,0,0,0,595
"1105","TOWN OF PORTERFIELD MARINETTE","MARINETTE","TOWN OF PORTERFIELD",1052,8,174,1020,1020,366,0,654,99,0,98,3,1,1,1,0,0,0,0,0,0,0,1020
"1106","TOWN OF PORTLAND DODGE","DODGE","TOWN OF PORTLAND",513,2,130,589,589,30,588,0,32,0,30,0,0,0,4,0,3,0,3,0,0,0,589
"1107","TOWN OF PORTLAND MONROE","MONROE","TOWN OF PORTLAND",304,8,75,347,348,186,0,161,26,0,26,0,0,0,2,0,2,0,2,0,2,0,347
"1108","TOWN OF POTOSI GRANT","GRANT","TOWN OF POTOSI",403,2,66,399,399,0,246,153,20,0,19,0,0,0,1,0,1,0,0,0,0,0,399
"1109","TOWN OF POUND MARINETTE","MARINETTE","TOWN OF POUND",696,10,132,715,715,51,0,664,50,0,48,0,1,0,1,0,1,0,0,0,0,0,715
"1110","TOWN OF POY SIPPI WAUSHARA","WAUSHARA","TOWN OF POY SIPPI",423,5,116,483,483,123,0,360,40,0,40,0,0,0,0,0,0,0,0,0,0,0,483
"1111","TOWN OF POYGAN WINNEBAGO","WINNEBAGO","TOWN OF POYGAN",715,7,93,723,723,0,536,187,60,0,59,0,0,0,1,0,0,0,1,0,0,0,723
"1112","TOWN OF PRAIRIE DU CHIEN CRAWFORD","CRAWFORD","TOWN OF PRAIRIE DU CHIEN",470,16,88,461,461,264,0,197,48,3,44,1,1,1,0,0,0,0,0,0,0,0,461
"1113","TOWN OF PRAIRIE DU SAC SAUK","SAUK","TOWN OF PRAIRIE DU SAC",643,16,102,677,677,0,675,2,56,0,56,0,0,0,0,0,0,0,0,0,0,0,677
"1114","TOWN OF PRAIRIE FARM BARRON","BARRON","TOWN OF PRAIRIE FARM",335,0,31,286,286,0,122,164,14,0,13,0,1,0,0,0,0,0,0,0,0,0,286
"1115","TOWN OF PRAIRIE LAKE BARRON","BARRON","TOWN OF PRAIRIE LAKE",887,11,117,810,810,1,553,256,93,0,30,0,1,0,1,0,0,0,0,0,0,0,810
"1116","TOWN OF PRENTICE PRICE","PRICE","TOWN OF PRENTICE",241,2,47,257,257,257,0,0,13,0,12,1,0,0,0,0,0,0,0,0,0,0,257
"1117","TOWN OF PRESQUE ISLE VILAS","VILAS","TOWN OF PRESQUE ISLE",630,9,40,576,576,0,480,96,115,1,109,0,5,0,1,0,1,0,1,0,0,0,576
"1118","TOWN OF PRESTON ADAMS","ADAMS","TOWN OF PRESTON",983,63,77,683,683,683,0,0,67,0,58,0,0,0,0,0,0,0,0,0,0,0,683
"1119","TOWN OF PRESTON TREMPEALEAU","TREMPEALEAU","TOWN OF PRESTON",414,9,65,413,413,271,0,142,27,0,27,0,0,0,1,0,1,0,0,0,0,0,413
"1120","TOWN OF PRICE LANGLADE","LANGLADE","TOWN OF PRICE",147,0,8,129,129,17,0,112,12,0,12,0,0,0,0,0,0,0,0,0,0,0,129
"1121","TOWN OF PRIMROSE DANE","DANE","TOWN OF PRIMROSE",435,6,27,450,450,0,450,0,28,0,27,0,0,0,3,0,2,0,0,0,0,0,450
"1122","TOWN OF PRINCETON GREEN LAKE","GREEN LAKE","TOWN OF PRINCETON",791,13,131,812,812,0,659,159,90,1,84,3,0,0,4,0,2,0,0,0,0,0,812
"1123","TOWN OF PULASKI IOWA","IOWA","TOWN OF PULASKI",197,1,22,180,180,33,0,147,7,0,7,0,0,0,0,0,0,0,0,0,0,0,180
"1124","TOWN OF QUINCY ADAMS","ADAMS","TOWN OF QUINCY",839,14,50,660,660,660,0,0,123,1,119,0,0,0,2,0,1,0,0,0,0,0,660
"1125","TOWN OF RADISSON SAWYER","SAWYER","TOWN OF RADISSON",208,2,39,225,225,24,0,201,21,0,21,0,0,0,0,0,0,0,0,0,0,0,225
"1126","TOWN OF RANDALL KENOSHA","KENOSHA","TOWN OF RANDALL",2159,24,181,1702,1702,4,1642,57,373,0,368,1,4,0,0,0,0,0,0,0,0,0,1702
"1127","TOWN OF RANDOLPH COLUMBIA","COLUMBIA","TOWN OF RANDOLPH",445,3,55,422,422,0,422,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,422
"1128","TOWN OF RANTOUL CALUMET","CALUMET","TOWN OF RANTOUL",447,1,57,436,436,0,436,0,16,0,15,0,0,0,0,0,0,0,0,0,0,0,436
"1129","TOWN OF RAYMOND RACINE","RACINE","TOWN OF RAYMOND",2920,40,218,2345,2346,2345,0,0,368,1,358,2,1,0,2,0,1,0,2,0,1,0,2345
"1130","TOWN OF RED CEDAR DUNN","DUNN","TOWN OF RED CEDAR",1274,24,144,1200,1200,887,313,0,91,0,87,0,0,0,0,0,0,0,0,0,0,0,1200
"1131","TOWN OF RED RIVER KEWAUNEE","KEWAUNEE","TOWN OF RED RIVER",869,0,80,764,761,0,764,0,59,0,59,0,0,0,1,0,1,0,0,0,0,0,764
"1132","TOWN OF RED SPRINGS SHAWANO","SHAWANO","TOWN OF RED SPRINGS",469,7,31,469,469,0,302,167,49,0,49,0,0,0,0,0,0,0,0,0,0,0,469
"1133","TOWN OF REEDSBURG SAUK","SAUK","TOWN OF REEDSBURG",588,92,109,603,603,0,580,23,64,0,61,0,0,0,0,0,0,0,0,0,0,0,603
"1134","TOWN OF REID MARATHON","MARATHON","TOWN OF REID",621,0,147,672,672,672,0,0,40,0,36,2,0,0,1,0,1,0,0,0,0,0,672
"1135","TOWN OF REMINGTON WOOD","WOOD","TOWN OF REMINGTON",181,3,9,136,136,0,136,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,136
"1136","TOWN OF RESEBURG CLARK","CLARK","TOWN OF RESEBURG",208,1,30,200,200,108,0,92,8,0,8,0,0,0,0,0,0,0,0,0,0,0,200
