G.A.B. Canvass Reporting System,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ward by Ward Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2014 GENERAL ELECTION,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
GOVERNOR/LIEUTENANT GOVERNOR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Total Votes Cast,DEM,REP,IND,IND,,IND,REP,CON,IND,IND,REP,
,CITY OF FRANKLIN WARD 7,"1,176",389,780,4,3,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 8,567,262,302,1,1,,0,0,0,0,0,0,1
,CITY OF FRANKLIN WARD 9,711,280,424,2,4,,0,0,0,0,0,0,1
,CITY OF FRANKLIN WARD 10,325,118,202,1,3,,0,0,0,0,0,0,1
,CITY OF FRANKLIN WARD 11,876,287,584,0,4,,0,0,0,0,0,0,1
,CITY OF FRANKLIN WARD12,615,197,416,0,1,,0,0,0,0,0,0,1
,CITY OF FRANKLIN WARD 13,853,263,582,2,6,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 14,772,242,520,0,8,,0,0,0,0,0,0,2
,CITY OF FRANKLIN WARD 15B,312,130,180,0,2,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 15A,410,140,268,1,1,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 16,913,271,630,8,2,,0,0,0,0,0,0,2
,CITY OF FRANKLIN WARD 17,540,188,346,0,6,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 18,344,75,264,2,1,,0,0,0,0,0,0,2
,CITY OF FRANKLIN WARD 19,984,332,649,1,2,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 20,443,176,264,0,3,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 21,200,105,93,2,0,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 22A,556,206,344,0,5,,0,0,0,0,0,0,1
,CITY OF FRANKLIN WARD 22B,548,202,340,3,3,,0,0,0,0,0,0,0
,CITY OF FRANKLIN WARD 23,934,304,622,1,6,,0,0,0,0,0,0,1
,"CITY OF GLENDALE WARDS 1, 7","1,115",686,418,2,8,,0,0,0,0,0,0,1
,"CITY OF GLENDALE WARDS 2, 8S",772,483,286,1,2,,0,0,0,0,0,0,0
,"CITY OF GLENDALE WARDS 3, 9","1,212",596,606,3,6,,0,0,0,0,0,0,1
,"CITY OF GLENDALE WARDS 4, 10","1,339",764,563,2,8,,0,0,0,0,0,0,2
,"CITY OF GLENDALE WARDS 5, 11","1,088",636,437,3,10,,0,0,0,0,0,0,2
,"CITY OF GLENDALE WARDS 6, 12",966,601,354,0,11,,0,0,0,0,0,0,0
,CITY OF GLENDALE WARD 8,437,255,176,1,4,,0,0,0,0,0,0,1
,CITY OF GLENDALE WARD 11S,249,187,59,0,3,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 1,823,357,456,3,7,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 2,703,293,401,2,6,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 3,638,308,324,5,1,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 4,619,348,262,4,4,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 5,771,330,432,2,7,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 6,747,265,472,2,7,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 7,928,385,535,4,4,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 8,905,430,468,1,6,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 9,830,332,483,3,11,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 10,775,277,496,0,1,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 11,"1,045",332,707,2,3,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 12,881,298,573,1,5,,0,0,0,0,0,0,4
,CITY OF GREENFIELD WARD 13,497,235,260,1,1,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 14,688,314,364,3,7,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 15,675,268,397,1,7,,0,0,0,0,0,0,2
,CITY OF GREENFIELD WARD 16,315,123,191,0,1,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 17,557,282,270,1,3,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 18,702,295,403,0,4,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 19,"1,053",488,558,2,4,,0,0,0,0,0,0,1
,CITY OF GREENFIELD WARD 20,"1,095",423,659,2,11,,0,0,0,0,0,0,0
,CITY OF GREENFIELD WARD 21,611,273,332,2,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 001,978,747,224,0,5,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 002,298,281,16,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 003,817,614,200,2,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 004,"1,374","1,132",227,1,12,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 005,658,548,106,2,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 006,"1,475","1,050",408,3,11,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 007,466,267,191,1,3,,0,0,0,0,0,0,4
,CITY OF MILWAUKEE WARD 008,"1,227",895,326,2,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 009,616,498,115,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 010,"1,063",724,332,2,5,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 011,904,720,176,2,5,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 012,781,635,139,2,5,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 013,434,338,94,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 014,850,795,48,1,4,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 015,674,414,256,1,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 016,"1,177",986,178,4,7,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 017,534,410,120,0,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 018,790,638,146,1,3,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 019,672,582,89,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 020,879,770,96,4,5,,0,0,0,0,0,0,4
,CITY OF MILWAUKEE WARD 021,811,751,56,2,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 022,676,605,64,4,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 023,286,251,32,0,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 024,313,302,9,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 025,644,574,67,3,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 026,598,532,61,1,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 027,528,454,69,2,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 028,181,157,24,0,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 029,311,277,33,1,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 030,589,497,88,1,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 031,557,500,56,0,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 032,"1,297","1,045",241,1,7,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 033,"1,755","1,057",684,4,10,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 034,901,629,262,4,6,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 035,693,408,273,2,9,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 036,785,677,102,4,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 037,619,553,56,4,6,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 038,509,456,47,2,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 039,632,502,121,1,8,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 040,596,524,59,3,9,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 041,583,525,54,3,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 042,750,659,85,1,3,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 043,588,567,20,1,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 044,854,768,80,2,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 045,811,740,66,3,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 046,440,405,34,0,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 047,800,752,40,5,1,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 048,424,367,50,3,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 049,564,519,37,2,4,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 050,522,484,30,4,2,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 051,525,497,25,2,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 052,724,668,50,2,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 053,292,268,23,0,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 054,445,432,11,0,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 055,901,729,166,2,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 056,626,612,13,0,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 057,809,793,10,1,4,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 058,586,573,11,0,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 059,"1,201","1,161",35,3,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 060,866,850,11,1,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 061,705,680,17,2,5,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 062,570,557,11,0,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 063,551,537,8,1,3,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 064,"1,175","1,124",39,3,4,,0,0,0,0,0,0,5
,CITY OF MILWAUKEE WARD 065,988,943,39,3,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 066,719,710,7,2,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 067,487,465,18,1,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 068,929,848,74,3,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 069,746,697,42,3,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 070,"1,057",987,62,1,7,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 071,587,540,44,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 072,776,701,70,3,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 073,921,827,90,2,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 074,594,519,73,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 075,557,393,154,1,4,,0,0,0,0,0,0,5
,CITY OF MILWAUKEE WARD 076,576,497,76,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 077,566,458,104,0,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 078,886,713,161,2,8,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 079,929,715,203,1,9,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 080,"1,199",770,417,3,8,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 081,494,226,265,3,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 082,678,328,340,1,9,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 083,799,390,399,1,7,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 084,607,323,279,0,4,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 085,780,416,355,4,3,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 086,757,377,369,1,10,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 087,465,283,178,0,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 088,627,368,247,3,7,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 089,816,498,301,6,9,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 090,796,522,266,0,6,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 091,"1,160",995,158,2,4,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 092,"1,124",800,317,3,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 093,519,310,204,1,2,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 094,411,382,26,0,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 095,503,455,45,0,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 096,852,733,109,3,5,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 097,798,594,199,2,1,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 098,596,566,26,2,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 099,"1,009",919,82,2,4,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 100,654,627,20,3,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 101,939,912,22,3,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 102,"1,012",963,42,2,5,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 103,"1,230","1,155",68,3,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 104,"1,083","1,058",22,0,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 105,502,493,5,2,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 106,427,423,2,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 107,673,662,7,2,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 108,725,708,12,2,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 109,724,712,9,2,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 110,405,399,3,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 111,646,634,10,1,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 112,664,651,8,2,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 113,585,574,8,1,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 114,538,528,9,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 115,877,860,16,1,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 116,469,466,1,2,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 117,650,643,4,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 118,617,600,11,2,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 119,630,613,12,3,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 120,571,560,7,1,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 121,616,610,1,1,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 122,678,651,19,6,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 123,759,685,63,3,6,,1,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 124,484,415,58,3,7,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 125,963,785,164,4,8,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 126,772,668,98,2,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 127,935,653,262,7,9,,0,0,0,0,0,0,4
,CITY OF MILWAUKEE WARD 128,975,659,295,4,16,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 129,682,487,189,0,6,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 130,634,396,216,0,19,,1,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 131,859,553,298,0,7,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 132,"1,287",832,442,4,8,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 133,619,464,141,2,10,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 134,566,399,156,1,9,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 135,697,511,174,2,9,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 136,734,535,175,3,20,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 137,484,381,90,3,10,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 138,"1,614","1,429",150,9,24,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 139,"1,161","1,036",110,3,9,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 140,457,446,10,1,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 141,526,508,13,1,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 142,570,557,10,0,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 143,580,573,2,1,2,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 144,393,374,15,2,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 145,288,284,3,1,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 146,260,255,4,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 147,868,860,6,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 148,648,634,10,2,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 149,763,748,12,1,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 150,591,560,24,1,3,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 151,469,456,12,1,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 152,395,389,4,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 153,668,627,33,2,5,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 154,491,468,22,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 155,428,414,10,2,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 156,699,661,33,2,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 157,466,416,46,1,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 158,462,421,38,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 159,444,412,27,1,2,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 160,589,572,15,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 161,198,186,10,0,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 162,313,306,5,2,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 163,636,593,37,2,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 164,719,614,100,2,2,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 165,612,472,134,1,4,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 166,305,250,51,0,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 167,711,515,187,2,6,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 168,"1,264",919,332,4,7,,1,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 169,465,446,15,2,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 170,328,314,9,1,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 171,110,106,3,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 172,426,410,13,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 173,551,532,14,1,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 174,800,772,21,2,3,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 175,484,446,36,1,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 176,741,715,24,0,0,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 177,"1,341",918,409,4,10,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 178,"1,009",725,264,2,16,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 179,"1,134",822,286,5,18,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 180,779,511,255,2,8,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 181,"1,195",767,419,1,8,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 182,"1,035",685,327,2,19,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 183,"1,264",805,439,2,13,,0,0,0,0,0,0,5
,CITY OF MILWAUKEE WARD 184,"1,115",698,401,2,12,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 185,"1,349",802,533,2,12,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 186,"1,317",657,649,3,7,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 187,228,138,88,0,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 188,269,151,115,1,1,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 189,440,367,67,2,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 190,655,299,339,3,13,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 191,414,173,231,1,9,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 192,508,299,197,3,7,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 193,578,539,36,0,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 194,354,306,43,0,4,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 195,418,377,31,3,5,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 196,645,591,52,0,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 197,317,288,26,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 198,667,608,49,4,5,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 199,556,521,28,3,2,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 200,348,298,45,1,2,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 201,365,334,27,2,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 202,620,491,123,0,3,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 203,841,587,240,5,9,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 204,618,415,195,2,5,,0,0,1,0,0,0,0
,CITY OF MILWAUKEE WARD 205,687,425,252,2,8,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 206,537,325,205,1,4,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 207,625,323,288,2,12,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 208,671,373,283,1,9,,0,0,0,0,0,0,5
,CITY OF MILWAUKEE WARD 209,643,280,354,0,9,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 210,546,213,323,3,7,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 211,551,268,277,1,4,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 212,688,369,309,2,6,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 213,744,429,308,2,5,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 214,332,250,78,1,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 215,226,180,43,2,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 216,202,163,39,0,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 217,434,334,92,0,5,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 218,514,374,134,1,5,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 219,353,270,78,2,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 220,404,301,100,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 221,651,501,143,1,6,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 222,363,283,74,1,5,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 223,425,320,94,3,5,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 224,317,247,64,1,3,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 225,276,221,51,0,4,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 226,159,138,20,0,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 227,574,500,66,3,4,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 228,229,190,31,7,0,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 229,187,155,27,2,3,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 230,400,342,55,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 231,201,173,27,1,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 232,151,131,18,2,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 233,117,99,17,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 234,195,166,26,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 235,820,549,253,3,15,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 236,293,251,40,0,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 237,386,335,47,2,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 238,302,252,46,0,3,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 239,256,201,54,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 240,352,305,41,5,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 241,725,528,180,4,12,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 242,694,517,163,2,11,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 243,915,624,280,1,8,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 244,701,487,203,3,8,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 245,598,422,165,3,7,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 246,"1,036",790,224,7,12,,0,0,0,0,0,0,3
,CITY OF MILWAUKEE WARD 247,501,335,155,2,8,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 248,988,767,202,5,13,,0,0,0,0,0,0,1
,CITY OF MILWAUKEE WARD 249,258,196,61,0,1,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 250,208,164,39,1,2,,0,0,0,0,0,0,2
,CITY OF MILWAUKEE WARD 251,126,90,33,3,0,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 252,283,193,80,3,7,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 253,139,111,26,0,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 254,125,92,30,1,2,,0,0,0,0,0,0,0
,CITY OF MILWAUKEE WARD 255,202,162,37,1,2,,0,0,0,0,0,0,0
